year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2023,21_Road Atlanta,Road Atlanta,road-atlanta,2023-10-14,202310141140_Race,11,LMP2,TDS Racing,ORECA 07,Steven Thomas,Mikkel Jensen,Scott Huffaker,,,TDS Racing ORECA LMP2 07 | LMP2 | 1.Steven Thomas 3.Scott Huffaker | 2.Mikkel Jensen
2023,21_Road Atlanta,Road Atlanta,road-atlanta,2023-10-14,202310141140_Race,12,GTD,Vasser Sullivan,Lexus RC F GT3,Frankie Montecalvo,Aaron Telitz,Parker Thompson,,,Vasser Sullivan Lexus RC F GT3 | GTD | 1.Frankie Montecalvo 3.Parker Thompson | 2.Aaron Telitz
2023,21_Road Atlanta,Road Atlanta,road-atlanta,2023-10-14,202310141140_Race,13,LMP3,AWA,Duqueine D08,Orey Fidani,Matthew Bell,Lars Kern,,,AWA Duqueine D08 | LMP3 | 1.Orey Fidani 3.Lars Kern | 2.Matthew Bell
2023,21_Road Atlanta,Road Atlanta,road-atlanta,2023-10-14,202310141140_Race,14,GTD PRO,Vasser Sullivan,Lexus RC F GT3,Jack Hawksworth,Ben Barnicoat,Kyle Kirkwood,,,Vasser Sullivan Lexus RC F GT3 | GTDPRO | 1.Jack Hawksworth 3.Kyle Kirkwood | 2.Ben Barnicoat
2023,21_Road Atlanta,Road Atlanta,road-atlanta,2023-10-14,202310141140_Race,16,GTD,Wright Motorsports Porsche,911 GT3 R (992),Ryan Hardwick,Zacharie Robichon,Jan Heylen,,,Wright Motorsports Porsche 911 GT3 R (992) | GTD | 1.Ryan Hardwick 3.Jan Heylen | 2.Zacharie Robichon
2023,21_Road Atlanta,Road Atlanta,road-atlanta,2023-10-14,202310141140_Race,17,LMP3,AWA,Duqueine D08,Anthony Mantella,Wayne Boyd,Nico Varrone,,,AWA Duqueine D08 | LMP3 | 1.Anthony Mantella 3.Nico Varrone | 2.Wayne Boyd
2023,21_Road Atlanta,Road Atlanta,road-atlanta,2023-10-14,202310141140_Race,18,LMP2,Era Motorsport,ORECA 07,Dwight Merriman,Ryan Dalziel,Christian Rasmussen,,,Era Motorsport ORECA LMP2 07 | LMP2 | 1.Dwight Merriman 3.Christian Rasmussen | 2.Ryan Dalziel
2023,21_Road Atlanta,Road Atlanta,road-atlanta,2023-10-14,202310141140_Race,20,LMP2,High Class Racing,ORECA 07,Dennis Andersen,Ed Jones,Anders Fjordbach,,,High Class Racing ORECA LMP2 07 | LMP2 | 1.Dennis Andersen 3.Anders Fjordbach | 2.Ed Jones
2023,21_Road Atlanta,Road Atlanta,road-atlanta,2023-10-14,202310141140_Race,023,GTD,Triarsi Competizione,Ferrari 296 GT3,Onofrio Triarsi,Charles Scardina,Alessio Rovera,,,Triarsi Competizione Ferrari 296 GT3 | GTD | 1.Onofrio Triarsi 3.Alessio Rovera | 2.Charles Scardina
2023,21_Road Atlanta,Road Atlanta,road-atlanta,2023-10-14,202310141140_Race,23,GTD PRO,Heart of Racing Team Aston,Martin Vantage GT3,Ross Gunn,Alex Riberas,David Pittard,,,Heart of Racing Team Aston Martin Vantage GT3 | GTDPRO | 1.Ross Gunn 3.David Pittard | 2.Alex Riberas | 14-Oct-23 10:54 PM
2023,21_Road Atlanta,Road Atlanta,road-atlanta,2023-10-14,202310141140_Race,24,GTP,BMW M Team RLL,BMW M Hybrid V8,Philipp Eng,Marco Wittmann,Augusto Farfus,,,BMW M Team RLL BMW M Hybrid V8 | GTP | 1.Philipp Eng 3.Augusto Farfus | 2.Marco Wittmann
2023,21_Road Atlanta,Road Atlanta,road-atlanta,2023-10-14,202310141140_Race,25,GTP,BMW M Team RLL,BMW M Hybrid V8,Sheldon van der Linde,Connor De Phillippi,Nick Yelloly,,,BMW M Team RLL BMW M Hybrid V8 | GTP | 1.Sheldon van der Linde 3.Nick Yelloly | 2.Connor De Phillippi
2023,21_Road Atlanta,Road Atlanta,road-atlanta,2023-10-14,202310141140_Race,27,GTD,Heart of Racing Team Aston,Martin Vantage GT3,Roman De Angelis,Marco Sorensen,Ian James,,,Heart of Racing Team Aston Martin Vantage GT3 | GTD | 1.Roman De Angelis 3.Ian James | 2.Marco Sorensen
2023,21_Road Atlanta,Road Atlanta,road-atlanta,2023-10-14,202310141140_Race,30,LMP3,Jr III Racing,Ligier JS P320,Dakota Dickerson,Bijoy Garg,Garett Grist,,,Jr III Racing Ligier JS P320 | LMP3 | 1.Dakota Dickerson 3.Garett Grist | 2.Bijoy Garg
2023,21_Road Atlanta,Road Atlanta,road-atlanta,2023-10-14,202310141140_Race,31,GTP,Whelen Engineering Cadillac Racing,Cadillac V-Series.R,Pipo Derani,Alexander Sims,Jack Aitken,,,Whelen Engineering Cadillac Racing Cadillac V-Series.R | GTP | 1.Pipo Derani 3.Jack Aitken | 2.Alexander Sims
2023,21_Road Atlanta,Road Atlanta,road-atlanta,2023-10-14,202310141140_Race,32,GTD,Team Korthoff Motorsports,Mercedes-AMG GT3,Mike Skeen,Mikael Grenier,Kenton Koch,,,Team Korthoff Motorsports Mercedes-AMG GT3 | GTD | 1.Mike Skeen 3.Kenton Koch | 2.Mikael Grenier
