year,event_code,event_name,track_slug,race_date,session_directory,position,class,car_number,team,vehicle,driver,fastest_lap_time,driver_lap_number,driver_total_laps,gap_to_fastest,interval,speed_mph,source_report,source_page
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,53,GTD,57,Heinricher Racing w/MSR Curb-Agajanian,Acura NSX GT3,Misha Goikhberg,2:09.938,3,21,18.904,0.003,112.151,06_Fastest Lap By Driver_Race.PDF,2
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,54,GTD,63,Scuderia Corsa,Ferrari 488 GT3,Cooper MacNeil,2:09.957,3,23,18.923,0.019,112.135,06_Fastest Lap By Driver_Race.PDF,2
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,55,GTD,22,Gradient Racing,Acura NSX GT3,Marc Miller,2:09.976,5,33,18.942,0.019,112.118,06_Fastest Lap By Driver_Race.PDF,2
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,56,GTD,86,Meyer Shank Racing w/Curb-Agajanian,Acura NSX GT3,Matt McMurry,2:10.002,3,21,18.968,0.026,112.096,06_Fastest Lap By Driver_Race.PDF,2
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,57,GTD,22,Gradient Racing,Acura NSX GT3,Till Bechtolsheimer,2:10.142,3,22,19.108,0.140,111.975,06_Fastest Lap By Driver_Race.PDF,2
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,58,GTD,16,Wright Motorsports,Porsche 911 GT3R,Ryan Hardwick,2:10.899,15,21,19.865,0.757,111.328,06_Fastest Lap By Driver_Race.PDF,2
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,59,GTD,44,GRT Magnus,Lamborghini Huracan GT3,John Potter,2:11.341,11,22,20.307,0.442,110.953,06_Fastest Lap By Driver_Race.PDF,2
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,60,GTD,30,Team Hardpoint,Audi R8 LMS GT3,Rob Ferriol,2:11.416,20,23,20.382,0.075,110.890,06_Fastest Lap By Driver_Race.PDF,2
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,61,GTD,23,Heart Of Racing Team,Aston Martin Vantage GT3,Roman De Angelis,,,,,,,06_Fastest Lap By Driver_Race.PDF,2
2020,06_Road America,Road America,road-america,2020-08-02,202008021105_Race,62,GTD,23,Heart Of Racing Team,Aston Martin Vantage GT3,Ian James,,,,,,,06_Fastest Lap By Driver_Race.PDF,2
