year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,57,GTD,Heinricher Racing w/MSR Curb-Agajanian,Acura NSX GT3,Alvaro Parente,Misha Goikhberg,,,,Heinricher Racing w/MSR Acura NSX GT3 | Curb-Agajanian GTD | 1.Alvaro Parente | 2.Misha Goikhberg
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,63,GTD,Scuderia Corsa,Ferrari 488 GT3,Cooper MacNeil,Alessandro Balzan,,,,Scuderia Corsa Ferrari 488 GT3 | GTD | 1.Cooper MacNeil | 2.Alessandro Balzan
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,74,GTD,Riley Motorsports,Mercedes-AMG GT3,Gar Robinson,Lawson Aschenbach,,,,Riley Motorsports Mercedes-AMG GT3 | GTD | 1.Gar Robinson | 2.Lawson Aschenbach
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,76,GTD,Compass Racing,McLaren 720S GT3,Jeff Kingsley,Paul Holton,,,,Compass Racing McLaren 720S GT3 | GTD | 1.Jeff Kingsley | 2.Paul Holton
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,77,DPi,Mazda Motorsports,Mazda,Oliver Jarvis,Tristan Nunez,,,,Mazda Motorsports Mazda DPi | DPi | 1.Oliver Jarvis | 2.Tristan Nunez
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,85,DPi,JDC-Miller MotorSports,Cadillac,Stephen Simpson,Matheus Leist,,,,JDC-Miller MotorSports Cadillac DPi | DPi | 1.Stephen Simpson | 2.Matheus Leist
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,86,GTD,Meyer Shank Racing w/Curb-Agajanian,Acura NSX GT3,Mario Farnbacher,Matt McMurry,,,,Meyer Shank Racing Acura NSX GT3 | w/Curb-Agajanian GTD | 1.Mario Farnbacher | 2.Matt McMurry
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,96,GTD,Turner Motorsport,BMW M6 GT3,Bill Auberlen,Robby Foley,,,,Turner Motorsport BMW M6 GT3 | GTD | 1.Bill Auberlen | 2.Robby Foley
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,911,GTLM,Porsche GT Team,Porsche RSR - 19,Nick Tandy,Fred Makowiecki,,,,Porsche GT Team Porsche 911 RSR - 19 | GTLM | 1.Nick Tandy | 2.Fred Makowiecki
2020,14_Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,weathertech-raceway-laguna-seca,2020-11-01,202011011305_Race,912,GTLM,Porsche GT Team,Porsche 911 RSR - 19,Earl Bamber,Laurens Vanthoor,,,,Porsche GT Team Porsche 911 RSR - 19 | GTLM | 1.Earl Bamber | 2.Laurens Vanthoor
