year,event_code,event_name,track_slug,race_date,session_directory,position,class,car_number,team,vehicle,driver,fastest_lap_time,driver_lap_number,driver_total_laps,gap_to_fastest,interval,speed_mph,source_report,source_page
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,33,GTD,23,Heart Of Racing Team,Aston Martin Vantage GT3,Roman De Angelis,1:22.204,9,41,9.912,0.021,98.885,06_Fastest Lap By Driver_Race.PDF,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,34,GTD,14,AIM VASSER SULLIVAN,Lexus RC F GT3,Jack Hawksworth,1:22.213,14,45,9.921,0.009,98.874,06_Fastest Lap By Driver_Race.PDF,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,35,GTD,22,Gradient Racing,Acura NSX GT3,Marc Miller,1:22.226,14,40,9.934,0.013,98.859,06_Fastest Lap By Driver_Race.PDF,1
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,36,GTD,76,Compass Racing,McLaren 720S GT3,Paul Holton,1:22.343,38,45,10.051,0.117,98.718,06_Fastest Lap By Driver_Race.PDF,2
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,37,GTD,57,Heinricher Racing w/MSR Curb-Agajanian,Acura NSX GT3,Misha Goikhberg,1:22.478,42,63,10.186,0.135,98.556,06_Fastest Lap By Driver_Race.PDF,2
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,38,GTD,23,Heart Of Racing Team,Aston Martin Vantage GT3,Ian James,1:22.575,43,67,10.283,0.097,98.441,06_Fastest Lap By Driver_Race.PDF,2
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,39,GTD,96,Turner Motorsport,BMW M6 GT3,Bill Auberlen,1:22.591,24,40,10.299,0.016,98.422,06_Fastest Lap By Driver_Race.PDF,2
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,40,GTD,96,Turner Motorsport,BMW M6 GT3,Robby Foley,1:22.666,35,43,10.374,0.075,98.332,06_Fastest Lap By Driver_Race.PDF,2
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,41,GTD,76,Compass Racing,McLaren 720S GT3,Corey Fergus,1:22.726,43,63,10.434,0.060,98.261,06_Fastest Lap By Driver_Race.PDF,2
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,42,GTD,22,Gradient Racing,Acura NSX GT3,Till Bechtolsheimer,1:22.840,42,67,10.548,0.114,98.126,06_Fastest Lap By Driver_Race.PDF,2
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,43,GTD,16,Wright Motorsports,Porsche 911 GT3R,Ryan Hardwick,1:22.970,13,31,10.678,0.130,97.972,06_Fastest Lap By Driver_Race.PDF,2
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,44,GTD,74,Riley Motorsports,Mercedes-AMG GT3,Gar Robinson,1:23.163,14,31,10.871,0.193,97.745,06_Fastest Lap By Driver_Race.PDF,2
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,45,GTD,30,Team Hardpoint,Audi R8 LMS GT3,Rob Ferriol,1:23.178,47,60,10.886,0.015,97.727,06_Fastest Lap By Driver_Race.PDF,2
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,46,GTD,12,AIM VASSER SULLIVAN,Lexus RC F GT3,Frankie Montecalvo,1:23.245,38,47,10.953,0.067,97.648,06_Fastest Lap By Driver_Race.PDF,2
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,47,GTD,44,GRT Magnus,Lamborghini Huracan GT3,John Potter,1:23.651,23,31,11.359,0.406,97.174,06_Fastest Lap By Driver_Race.PDF,2
2020,10_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2020-09-27,202009271405_Race,48,GTD,30,Team Hardpoint,Audi R8 LMS GT3,Spencer Pumpelly,,,,,,,06_Fastest Lap By Driver_Race.PDF,2
