year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stint_number,driver,start_time,end_time,segment_type,segment_time,cumulative_track_time,cumulative_driver_time,source_report,source_page,source_column
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,8,Starworks Motorsport | ORECA FLM09 PC,1,A. Popow,11:35:58.695,12:16:18.332,TRACK,40:19.637,40:19.637,40:19.637,20_Drive Time.PDF,2,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,8,Starworks Motorsport | ORECA FLM09 PC,,A. Popow,12:16:18.332,12:17:06.966,PIT,48.634,40:19.637,41:08.271,20_Drive Time.PDF,2,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,8,Starworks Motorsport | ORECA FLM09 PC,2,A. Popow,12:17:06.966,12:37:12.766,TRACK,20:05.800,1:00:25.437,1:01:14.071,20_Drive Time.PDF,2,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,8,Starworks Motorsport | ORECA FLM09 PC,,,12:37:12.766,12:38:13.754,PIT,1:00.988,,,20_Drive Time.PDF,2,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,8,Starworks Motorsport | ORECA FLM09 PC,3,R. van der Zande,12:38:13.754,13:25:36.415,TRACK,47:22.661,47:22.661,47:22.661,20_Drive Time.PDF,2,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,8,Starworks Motorsport | ORECA FLM09 PC,,R. van der Zande,13:25:36.415,13:26:35.710,PIT,59.295,47:22.661,48:21.956,20_Drive Time.PDF,2,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,8,Starworks Motorsport | ORECA FLM09 PC,4,R. van der Zande,13:26:35.710,14:15:58.695,TRACK,49:22.985,1:36:45.646,1:37:44.941,20_Drive Time.PDF,2,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,9,Stevenson Motorsports | Audi R8 LMS GT3 GTD,1,L. Aschenbach,11:35:58.695,12:19:39.261,TRACK,43:40.566,43:40.566,43:40.566,20_Drive Time.PDF,2,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,9,Stevenson Motorsports | Audi R8 LMS GT3 GTD,,,12:19:39.261,12:20:51.426,PIT,1:12.165,,,20_Drive Time.PDF,2,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,9,Stevenson Motorsports | Audi R8 LMS GT3 GTD,2,M. Bell,12:20:51.426,12:57:25.676,TRACK,36:34.250,36:34.250,36:34.250,20_Drive Time.PDF,2,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,9,Stevenson Motorsports | Audi R8 LMS GT3 GTD,,M. Bell,12:57:25.676,12:58:20.286,PIT,54.610,36:34.250,37:28.860,20_Drive Time.PDF,3,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,9,Stevenson Motorsports | Audi R8 LMS GT3 GTD,3,M. Bell,12:58:20.286,13:29:10.538,TRACK,30:50.252,1:07:24.502,1:08:19.112,20_Drive Time.PDF,3,1
