year,event_code,event_name,track_slug,race_date,session_directory,position,class,car_number,team,vehicle,driver,fastest_lap_time,driver_lap_number,driver_total_laps,gap_to_fastest,interval,speed_mph,source_report,source_page
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,11,P,70,Mazda Motorsports,Mazda Prototype,Tom Long,1:11.532,6,35,1.128,0.207,123.7,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,12,P,31,Action Express Racing,Chevrolet Corvette DP,Eric Curran,1:11.784,28,37,1.380,0.252,123.3,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,13,P,90,VisitFlorida Racing,Chevrolet Corvette DP,Marc Goossens,1:11.802,6,39,1.398,0.018,123.2,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,14,PC,8,Starworks Motorsport,ORECA FLM09,Renger van der Zande,1:12.071,33,66,1.667,0.269,122.8,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,15,PC,54,CORE autosport,ORECA FLM09,Colin Braun,1:12.097,45,75,1.693,0.026,122.7,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,16,PC,52,PR1/Mathiasen Motorsports,ORECA FLM09,Tom Kimber-Smith,1:12.239,36,62,1.835,0.142,122.5,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,17,P,60,Michael Shank Racing w/Curb-Agajanian,Honda HPD Ligier JS P2,John Pew,1:12.305,16,39,1.901,0.066,122.4,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,18,PC,38,Performance Tech Motorsports,ORECA FLM09,James French,1:12.374,52,61,1.970,0.069,122.2,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,19,PC,85,JDC-Miller Motorsports,ORECA FLM09,Stephen Simpson,1:12.538,44,106,2.134,0.164,122.0,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,20,P,0,Panoz DeltaWing Racing,DeltaWing DWC13,Katherine Legge,1:12.616,43,64,2.212,0.078,121.9,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,21,P,0,Panoz DeltaWing Racing,DeltaWing DWC13,Sean Rayhall,1:12.637,16,57,2.233,0.021,121.8,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,22,PC,52,PR1/Mathiasen Motorsports,ORECA FLM09,Robert Alon,1:12.659,49,61,2.255,0.022,121.8,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,23,PC,38,Performance Tech Motorsports,ORECA FLM09,Kyle Marcelli,1:12.776,36,62,2.372,0.117,121.6,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,24,PC,8,Starworks Motorsport,ORECA FLM09,Alex Popow,1:12.911,50,57,2.507,0.135,121.4,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,25,PC,88,Starworks Motorsport,ORECA FLM09,Richard Bradley,1:12.948,59,73,2.544,0.037,121.3,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,26,PC,20,BAR1 Motorsports,ORECA FLM09,Matthew McMurry,1:13.213,16,80,2.809,0.265,120.9,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,27,PC,54,CORE autosport,ORECA FLM09,Jonathan Bennett,1:14.082,7,48,3.678,0.869,119.4,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,28,PC,20,BAR1 Motorsports,ORECA FLM09,Johnny Mowlem,1:14.499,16,42,4.095,0.417,118.8,07_ Driver Fastest Lap.PDF,1
