year,event_code,event_name,track_slug,race_date,session_directory,position,class_position,car_number,class,category_marker,drivers,team,vehicle,laps,total_time,gap_to_leader,interval,status,best_lap_number,best_lap_time,best_lap_speed_mph,source_report,source_page
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,17,2,64,,,M. Rockenfeller / H. Tincknell,Ford Multimatic Motorsports,Ford Mustang GT3,208,6:01:38.759,11 Laps,12.527,,173,1:24.326,104.124,03_Results_Race_Official.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,18,3,3,,,A. Sims / A. Garcia,Corvette Racing by Pratt Miller Motorsports,Chevrolet Corvette Z06 GT3.R,208,6:01:41.587,11 Laps,2.828,,171,1:23.856,104.707,03_Results_Race_Official.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,19,4,14,,,B. Barnicoat / J. Hawksworth,VasserSullivan,Lexus RC F GT3,208,6:01:43.617,11 Laps,2.030,,171,1:24.341,104.105,03_Results_Race_Official.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,20,5,23,,,A. Riberas / R. Gunn,Heart of Racing Team,Aston Martin Vantage GT3 Evo,208,6:01:45.190,11 Laps,1.573,,171,1:24.158,104.332,03_Results_Race_Official.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,21,6,027,,,M. Farnbacher / R. De Angelis,Heart of Racing Team,Aston Martin Vantage GT3 Evo,208,6:01:53.721,11 Laps,8.531,,5,1:24.720,103.639,03_Results_Race_Official.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,22,7,75,,,C. Mostert / J. Love / K. Habul,Sun Energy 1,Mercedes-AMG GT3,208,6:02:17.373,11 Laps,23.652,,127,1:24.336,104.111,03_Results_Race_Official.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,23,8,1,,,N. Verhagen / M. Snow / B. Sellers,Paul Miller Racing,BMW M4 GT3,208,6:02:17.542,11 Laps,0.169,,4,1:24.116,104.384,03_Results_Race_Official.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,24,9,62,,,D. Rigon / D. Serra,Risi Competizione,Ferrari 296 GT3,207,6:01:09.987,12 Laps,1,,173,1:23.982,104.550,03_Results_Race_Official.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,25,1,120,GTD,,J. Heylen / E. Skeer / A. Adelson,Wright Motorsports,Porsche 911 GT3 R (992),207,6:01:46.354,12 Laps,36.367,,170,1:24.283,104.177,03_Results_Race_Official.PDF,1
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,26,2,96,GTD,,J. Walker / P. Gallagher / R. Foley,Turner Motorsport,BMW M4 GT3,207,6:01:48.819,12 Laps,2.465,,104,1:24.417,104.011,03_Results_Race_Official.PDF,2
