year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2022,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2022-04-09,202204091405_Race,01,DPi,Cadillac Racing,Cadillac,Renger van der Zande,Sebastien Bourdais,,,,Cadillac Racing Cadillac DPi | DPi | 1.Renger van der Zande | 2.Sebastien Bourdais
2022,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2022-04-09,202204091405_Race,25,GTD PRO,BMW M Team RLL,BMW M4 GT3,Connor De Phillippi,John Edwards,,,,BMW M Team RLL BMW M4 GT3 | GTDPRO | 1.Connor De Phillippi | 2.John Edwards
2022,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2022-04-09,202204091405_Race,27,GTD,Heart of Racing Team Aston,Martin Vantage GT3,Roman De Angelis,Maxime Martin,,,,Heart of Racing Team Aston Martin Vantage GT3 | GTD | 1.Roman De Angelis | 2.Maxime Martin
2022,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2022-04-09,202204091405_Race,31,DPi,Whelen Engineering Racing,Cadillac,Pipo Derani,Tristan Nunez,,,,Whelen Engineering Racing Cadillac DPi | DPi | 1.Pipo Derani | 2.Tristan Nunez
2022,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2022-04-09,202204091405_Race,32,GTD,Team Korthoff Motorsports,Mercedes-AMG GT3,Mike Skeen,Stevan McAleer,,,,Team Korthoff Motorsports Mercedes-AMG GT3 | GTD | 1.Mike Skeen | 2.Stevan McAleer
2022,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2022-04-09,202204091405_Race,34,GTD,GMG Racing,Porsche 911 GT3R,Kyle Washington,James Sofronas,,,,GMG Racing Porsche 911 GT3R | GTD | 1.Kyle Washington | 2.James Sofronas
2022,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2022-04-09,202204091405_Race,39,GTD,CarBahn with Peregrine Racing,Lamborghini Huracan GT3,Robert Megennis,Jeff Westphal,,,,CarBahn with Peregrine Racing Lamborghini Huracan GT3 | GTD | 1.Robert Megennis | 2.Jeff Westphal
2022,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2022-04-09,202204091405_Race,51,GTD,Rick Ware Racing,Acura NSX GT3,Ryan Eversley,Aidan Read,,,,Rick Ware Racing Acura NSX GT3 | GTD | 1.Ryan Eversley | 2.Aidan Read
2022,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2022-04-09,202204091405_Race,57,GTD,Winward Racing,Mercedes-AMG GT3,Russell Ward,Philip Ellis,,,,Winward Racing Mercedes-AMG GT3 | GTD | 1.Russell Ward | 2.Philip Ellis
2022,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2022-04-09,202204091405_Race,59,GTD,Crucial Motorsports,McLaren 720S GT3,Jon Miller,Paul Holton,,,,Crucial Motorsports McLaren 720S GT3 | GTD | 1.Jon Miller | 2.Paul Holton
2022,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2022-04-09,202204091405_Race,60,DPi,Meyer Shank Racing W/Curb-Agajanian,Acura,Oliver Jarvis,Tom Blomqvist,,,,Meyer Shank Racing Acura DPi | W/Curb-Agajanian DPi | 1.Oliver Jarvis | 2.Tom Blomqvist
2022,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2022-04-09,202204091405_Race,66,GTD,Gradient Racing,Acura NSX GT3,Mario Farnbacher,Marc Miller,,,,Gradient Racing Acura NSX GT3 | GTD | 1.Mario Farnbacher | 2.Marc Miller
2022,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2022-04-09,202204091405_Race,70,GTD,inception racing,McLaren 720S GT3,Brendan Iribe,Frederik Schandorff,,,,inception racing McLaren 720S GT3 | GTD | 1.Brendan Iribe | 2.Frederik Schandorff
2022,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2022-04-09,202204091405_Race,79,GTD PRO,WeatherTech Racing,Mercedes-AMG GT3,Cooper MacNeil,Raffaele Marciello,,,,WeatherTech Racing Mercedes-AMG GT3 | GTDPRO | 1.Cooper MacNeil | 2.Raffaele Marciello
2022,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2022-04-09,202204091405_Race,96,GTD,Turner Motorsport,BMW M4 GT3,Robby Foley,Bill Auberlen,,,,Turner Motorsport BMW M4 GT3 | GTD | 1.Robby Foley | 2.Bill Auberlen
2022,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2022-04-09,202204091405_Race,99,GTD,Team Hardpoint,Porsche 911 GT3R,Rob Ferriol,Katherine Legge,,,,Team Hardpoint Porsche 911 GT3R | GTD | 1.Rob Ferriol | 2.Katherine Legge
