year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,1,GTD PRO,Paul Miller Racing,BMW M4 GT3 EVO,Kelvin van der Linde,Connor De Phillippi,Neil Verhagen,Madison Snow,,Paul Miller Racing BMW M4 GT3 EVO | GTDPRO | 1.Kelvin van der Linde 3.Neil Verhagen | 2.Connor De Phillippi 4.Madison Snow
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,10,GTP,Cadillac Wayne Taylor Racing,Cadillac V-Series.R,Brendon Hartley,Will Stevens,Filipe Albuquerque,Ricky Taylor,,Cadillac Wayne Taylor Racing Cadillac V-Series.R | GTP | 1.Brendon Hartley 3.Filipe Albuquerque | 2.Will Stevens 4.Ricky Taylor
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,11,LMP2,TDS RACING,ORECA 07,Charles Milesi,Hunter McElrea,Mikkel Jensen,Steven Thomas,,TDS RACING ORECA LMP2 07 | LMP2 | 1.Charles Milesi 3.Mikkel Jensen | 2.Hunter McElrea 4.Steven Thomas
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,12,GTD,Vasser Sullivan Racing,Lexus RC F GT3,Kyle Kirkwood,Frankie Montecalvo,Parker Thompson,Jack Hawksworth,,Vasser Sullivan Racing Lexus RC F GT3 | GTD | 1.Kyle Kirkwood 3.Parker Thompson | 2.Frankie Montecalvo 4.Jack Hawksworth
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,13,GTD,AWA Chevrolet,Corvette Z06 GT3.R,Marvin Kirchhöfer,Lars Kern,Matthew Bell,Orey Fidani,,AWA Chevrolet Corvette Z06 GT3.R | GTD | 1.Marvin Kirchhöfer 3.Matthew Bell | 2.Lars Kern 4.Orey Fidani
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,14,GTD PRO,Vasser Sullivan Racing,Lexus RC F GT3,Townsend Bell,Kyle Kirkwood,Aaron Telitz,Ben Barnicoat,,Vasser Sullivan Racing Lexus RC F GT3 | GTDPRO | 1.Townsend Bell 3.Aaron Telitz | 2.Kyle Kirkwood 4.Ben Barnicoat
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,18,LMP2,Era Motorsport,ORECA 07,Ryan Dalziel,David Heinemeier Hansson,Paul-Loup Chatin,Tobi Lutke,,Era Motorsport ORECA LMP2 07 | LMP2 | 1.Ryan Dalziel 3.Paul-Loup Chatin | 2.David Heinemeier Hansson 4.Tobi Lutke
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,19,GTD,van der Steur Racing Aston,Martin Vantage GT3 Evo,Anthony McIntosh,Valentin Hasse-Clot,Rory van der Steur,Maxime Robin,,van der Steur Racing Aston Martin Vantage GT3 Evo | GTD | 1.Anthony McIntosh 3.Rory van der Steur | 2.Valentin Hasse-Clot 4.Maxime Robin
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,20,GTD PRO,Proton Competition Porsche,911 GT3 R (992),Richard Lietz,Thomas Preining,Matteo Cressoni,Claudio Schiavoni,,Proton Competition Porsche 911 GT3 R (992) | GTDPRO | 1.Richard Lietz 3.Matteo Cressoni | 2.Thomas Preining 4.Claudio Schiavoni
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,021,GTD,Triarsi Competizione,Ferrari 296 GT3,James Calado,Mike Skeen,Stevan McAleer,Sheena Monk,,Triarsi Competizione Ferrari 296 GT3 | GTD | 1.James Calado 3.Stevan McAleer | 2.Mike Skeen 4.Sheena Monk
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,21,GTD,Af Corse,Ferrari 296 GT3,Kei Cozzolino,Alessandro Pier Guidi,Lilou Wadoux Ducellier,Simon Mann,,Af Corse Ferrari 296 GT3 | GTD | 1.Kei Cozzolino 3.Lilou Wadoux Ducellier | 2.Alessandro Pier Guidi 4.Simon Mann
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,22,LMP2,United Autosports USA,ORECA 07,Rasmus Lindh,James Allen,Paul Di Resta,Daniel Goldburg,,United Autosports USA ORECA LMP2 07 | LMP2 | 1.Rasmus Lindh 3.Paul Di Resta | 2.James Allen 4.Daniel Goldburg
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,023,GTD,Triarsi Competizione,Ferrari 296 GT3,Eddie Cheever,Alessio Rovera,Charles Scardina,Onofrio Triarsi,,Triarsi Competizione Ferrari 296 GT3 | GTD | 1.Eddie Cheever 3.Charles Scardina | 2.Alessio Rovera 4.Onofrio Triarsi
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,24,GTP,BMW M Team RLL,BMW M Hybrid V8,Raffaele Marciello,Kevin Magnussen,Dries Vanthoor,Philipp Eng,,BMW M Team RLL BMW M Hybrid V8 | GTP | 1.Raffaele Marciello 3.Dries Vanthoor | 2.Kevin Magnussen 4.Philipp Eng
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,25,GTP,BMW M Team RLL,BMW M Hybrid V8,Rene Rast,Robin Frijns,Sheldon van der Linde,Marco Wittmann,,BMW M Team RLL BMW M Hybrid V8 | GTP | 1.Rene Rast 3.Sheldon van der Linde | 2.Robin Frijns 4.Marco Wittmann
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,27,GTD,Heart of Racing Team Aston Martin,Vantage GT3 Evo,Mattia Drudi,Zacharie Robichon,Casper Stevenson,Tom Gamble,,Heart of Racing Team Aston Martin Vantage GT3 Evo | GTD | 1.Mattia Drudi 3.Casper Stevenson | 2.Zacharie Robichon 4.Tom Gamble
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,31,GTP,Cadillac Whelen,Cadillac V-Series.R,Earl Bamber,Felipe Drugovich,Frederik Vesti,Jack Aitken,,Cadillac Whelen Cadillac V-Series.R | GTP | 1.Earl Bamber 3.Frederik Vesti | 2.Felipe Drugovich 4.Jack Aitken
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,32,GTD,Korthoff Competition Motors,Mercedes-AMG GT3,Daniel Morad,Maximilian Goetz,Kenton Koch,Seth Lucas,,Korthoff Competition Motors Mercedes-AMG GT3 | GTD | 1.Daniel Morad 3.Kenton Koch | 2.Maximilian Goetz 4.Seth Lucas
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,34,GTD,Conquest Racing,Ferrari 296 GT3,Giacomo Altoè,Cedric Sbirrazzuoli,Daniel Serra,Manny Franco,,Conquest Racing Ferrari 296 GT3 | GTD | 1.Giacomo Altoè 3.Daniel Serra | 2.Cedric Sbirrazzuoli 4.Manny Franco
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,36,GTD,DXDT Racing Chevrolet,Corvette Z06 GT3.R,Pipo Derani,Charlie Eastwood,Alec Udell,Salih Yoluc,,DXDT Racing Chevrolet Corvette Z06 GT3.R | GTD | 1.Pipo Derani 3.Alec Udell | 2.Charlie Eastwood 4.Salih Yoluc
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,40,GTP,Cadillac Wayne Taylor Racing,Cadillac V-Series.R,Kamui Kobayashi,Louis Deletraz,Jordan Taylor,,,Cadillac Wayne Taylor Racing Cadillac V-Series.R | GTP | 1.Kamui Kobayashi 3.Jordan Taylor | 2.Louis Deletraz
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,43,LMP2,Inter Europol Competition,ORECA 07,Antonio Felix da Costa,Bijoy Garg,Jon Field,Tom Dillmann,,Inter Europol Competition ORECA LMP2 07 | LMP2 | 1.Antonio Felix da Costa 3.Jon Field | 2.Bijoy Garg 4.Tom Dillmann
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,44,GTD,Magnus Racing Aston Martin,Vantage GT3 Evo,Nicki Thiim,Spencer Pumpelly,Andy Lally,John Potter,,Magnus Racing Aston Martin Vantage GT3 Evo | GTD | 1.Nicki Thiim 3.Andy Lally | 2.Spencer Pumpelly 4.John Potter
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,45,GTD,Wayne Taylor Racing Lamborghini,Huracan GT3 EVO2,Kyle Marcelli,Graham Doyle,Trent Hindman,Danny Formal,,Wayne Taylor Racing Lamborghini Huracan GT3 EVO2 | GTD | 1.Kyle Marcelli 3.Trent Hindman | 2.Graham Doyle 4.Danny Formal
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,47,GTD,CETILAR RACING,Ferrari 296 GT3,Antonio Fuoco,Lorenzo Patrese,Nicola Lacorte,Roberto Lacorte,,CETILAR RACING Ferrari 296 GT3 | GTD | 1.Antonio Fuoco 3.Nicola Lacorte | 2.Lorenzo Patrese 4.Roberto Lacorte
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,48,GTD PRO,Paul Miller Racing,BMW M4 GT3 EVO,Augusto Farfus,Max Hesse,Jesse Krohn,Dan Harper,,Paul Miller Racing BMW M4 GT3 EVO | GTDPRO | 1.Augusto Farfus 3.Jesse Krohn | 2.Max Hesse 4.Dan Harper
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,50,GTD,Af Corse,Ferrari 296 GT3,Conrad Laursen,Arthur Leclerc,Riccardo Agostini,Custodio Toledo,,Af Corse Ferrari 296 GT3 | GTD | 1.Conrad Laursen 3.Riccardo Agostini | 2.Arthur Leclerc 4.Custodio Toledo
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,52,LMP2,PR1 Mathiasen Motorsports,ORECA 07,Mathias BECHE,Benjamin Pedersen,Ben Keating,Rodrigo Sales,,PR1 Mathiasen Motorsports ORECA LMP2 07 | LMP2 | 1.Mathias BECHE 3.Ben Keating | 2.Benjamin Pedersen 4.Rodrigo Sales
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,57,GTD,Winward Racing,Mercedes-AMG GT3,Lucas Auer,Indy Dontje,Philip Ellis,Russell Ward,,Winward Racing Mercedes-AMG GT3 | GTD | 1.Lucas Auer 3.Philip Ellis | 2.Indy Dontje 4.Russell Ward
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,60,GTP,Acura Meyer Shank Racing w/Curb Agajanian,Acura ARX-06,Felix Rosenqvist,Scott Dixon,Colin Braun,Tom Blomqvist,,Acura Meyer Shank Racing w/Curb Acura ARX-06 | Agajanian GTP | 1.Felix Rosenqvist 3.Colin Braun | 2.Scott Dixon 4.Tom Blomqvist
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,63,GTP,Automobili Lamborghini Squadra Corse,Lamborghini SC63,Edoardo Mortara,Daniil Kvyat,Romain Grosjean,Mirko Bortolotti,,Automobili Lamborghini Squadra Lamborghini SC63 | Corse GTP | 1.Edoardo Mortara 3.Romain Grosjean | 2.Daniil Kvyat 4.Mirko Bortolotti
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,64,GTD PRO,Ford Multimatic Motorsports,Ford Mustang GT3,Austin Cindric,Sebastian Priaulx,Mike Rockenfeller,,,Ford Multimatic Motorsports Ford Mustang GT3 | GTDPRO | 1.Austin Cindric 3.Mike Rockenfeller | 2.Sebastian Priaulx
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,65,GTD PRO,Ford Multimatic Motorsports,Ford Mustang GT3,Dennis Olsen,Frederic Vervisch,Christopher Mies,,,Ford Multimatic Motorsports Ford Mustang GT3 | GTDPRO | 1.Dennis Olsen 3.Christopher Mies | 2.Frederic Vervisch
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,66,GTD,Gradient Racing,Ford Mustang GT3,Harry Tincknell,Tati Calderon,Till Bechtolsheimer,Joey Hand,,Gradient Racing Ford Mustang GT3 | GTD | 1.Harry Tincknell 3.Till Bechtolsheimer | 2.Tati Calderon 4.Joey Hand
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,69,GTD PRO,GetSpeed,Mercedes-AMG GT3,Luca Stolz,Fabian Schiller,Maxime Martin,Anthony Bartone,,GetSpeed Mercedes-AMG GT3 | GTDPRO | 1.Luca Stolz 3.Maxime Martin | 2.Fabian Schiller 4.Anthony Bartone
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,70,GTD,Inception Racing,Ferrari 296 GT3,David Fumanelli,Ollie Millroy,Frederik Schandorff,Brendan Iribe,,Inception Racing Ferrari 296 GT3 | GTD | 1.David Fumanelli 3.Frederik Schandorff | 2.Ollie Millroy 4.Brendan Iribe
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,73,LMP2,Pratt Miller Motorsports,ORECA 07,Callum Ilott,Chris Cumming,James Roe,Pietro Fittipaldi,,Pratt Miller Motorsports ORECA LMP2 07 | LMP2 | 1.Callum Ilott 3.James Roe | 2.Chris Cumming 4.Pietro Fittipaldi
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,74,LMP2,Riley,ORECA 07,Felipe Massa,Josh Burdon,Felipe Fraga,Gar Robinson,,Riley ORECA LMP2 07 | LMP2 | 1.Felipe Massa 3.Felipe Fraga | 2.Josh Burdon 4.Gar Robinson
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,75,GTD PRO,Express,Mercedes-AMG GT3,Maro Engel,Jules Gounon,Mikael Grenier,Kenny Habul,,75 Express Mercedes-AMG GT3 | GTDPRO | 1.Maro Engel 3.Mikael Grenier | 2.Jules Gounon 4.Kenny Habul
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,77,GTD PRO,AO Racing Porsche,911 GT3 R (992),Alessio Picariello,Klaus Bachler,Laurin Heinrich,,,AO Racing Porsche 911 GT3 R (992) | GTDPRO | 1.Alessio Picariello 3.Laurin Heinrich | 2.Klaus Bachler
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,78,GTD,Forte Racing Lamborghini,Huracan GT3 EVO2,Parker Kligerman,Franck Perera,Mario Farnbacher,Misha Goikhberg,,Forte Racing Lamborghini Huracan GT3 EVO2 | GTD | 1.Parker Kligerman 3.Mario Farnbacher | 2.Franck Perera 4.Misha Goikhberg
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,80,GTD,Lone Star Racing,Mercedes-AMG GT3,Ralf Aron,Eric Filgueiras,Scott Andrews,Dan Knox,,Lone Star Racing Mercedes-AMG GT3 | GTD | 1.Ralf Aron 3.Scott Andrews | 2.Eric Filgueiras 4.Dan Knox
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,81,GTD PRO,DragonSpeed,Ferrari 296 GT3,Thomas Neubauer,Miguel Molina,Davide Rigon,Albert Costa,,DragonSpeed Ferrari 296 GT3 | GTDPRO | 1.Thomas Neubauer 3.Davide Rigon | 2.Miguel Molina 4.Albert Costa
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,83,GTD,Iron Dames Porsche,911 GT3 R (992),Karen Gaillard,Michelle Gatting,Rahel Frey,Sarah Bovy,,Iron Dames Porsche 911 GT3 R (992) | GTD | 1.Karen Gaillard 3.Rahel Frey | 2.Michelle Gatting 4.Sarah Bovy
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,85,GTP,JDC Miller MotorSports,Porsche 963,Bryce Aron,Pascal Wehrlein,Gianmaria Bruni,Tijmen van der Helm,,JDC Miller MotorSports Porsche 963 | GTP | 1.Bryce Aron 3.Gianmaria Bruni | 2.Pascal Wehrlein 4.Tijmen van der Helm
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,88,LMP2,Af Corse,ORECA 07,Matthieu Vaxiviere,Nicklas Nielsen,Dylan Murry,Luis Perez Companc,,Af Corse ORECA LMP2 07 | LMP2 | 1.Matthieu Vaxiviere 3.Dylan Murry | 2.Nicklas Nielsen 4.Luis Perez Companc
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,91,GTD PRO,Trackhouse by TF Sport Chevrolet,Corvette Z06 GT3.R,Shane van Gisbergen,Scott McLaughlin,Connor Zilisch,Ben Keating,,Trackhouse by TF Sport Chevrolet Corvette Z06 GT3.R | GTDPRO | 1.Shane van Gisbergen 3.Connor Zilisch | 2.Scott McLaughlin 4.Ben Keating
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,93,GTP,Acura Meyer Shank Racing w/Curb Agajanian,Acura ARX-06,Kaku Ohta,Alex Palou,Nick Yelloly,Renger van der Zande,,Acura Meyer Shank Racing w/Curb Acura ARX-06 | Agajanian GTP | 1.Kaku Ohta 3.Nick Yelloly | 2.Alex Palou 4.Renger van der Zande
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,96,GTD,Turner Motorsport,BMW M4 GT3 EVO,Jens Klingmann,Jake Walker,Patrick Gallagher,Robby Foley,,Turner Motorsport BMW M4 GT3 EVO | GTD | 1.Jens Klingmann 3.Patrick Gallagher | 2.Jake Walker 4.Robby Foley
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,99,LMP2,AO Racing,ORECA 07,Christian Rasmussen,Jonny Edgar,Dane Cameron,PJ Hyett,,AO Racing ORECA LMP2 07 | LMP2 | 1.Christian Rasmussen 3.Dane Cameron | 2.Jonny Edgar 4.PJ Hyett
2025,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2025-01-25,202501251340_Race,120,GTD,Wright Motorsports Porsche,911 GT3 R (992),Ayhancan Guven,Tom Sargent,Elliott Skeer,Adam Adelson,,Wright Motorsports Porsche 911 GT3 R (992) | GTD | 1.Ayhancan Guven 3.Elliott Skeer | 2.Tom Sargent 4.Adam Adelson
