year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,33,GTD,Riley Motorsports - Team AMG,Mercedes-AMG GT3,Ben Keating,Jeroen Bleekemolen,Mario Farnbacher,,,Riley Motorsports - Team AMG Mercedes-AMG GT3 | GTD | 1.Ben Keating 3.Mario Farnbacher | 2.Jeroen Bleekemolen
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,38,PC,Performance Tech Motorsports,ORECA FLM09,James French,Patricio O'Ward,Kyle Masson,,,Performance Tech Motorsports ORECA FLM09 | PC | 1.James French 3.Kyle Masson | 2.Patricio O'Ward
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,48,GTD,Paul Miller Racing,Lamborghini Huracan GT3,Bryan Sellers,Madison Snow,Trent Hindman,,,Paul Miller Racing Lamborghini Huracan GT3 | GTD | 1.Bryan Sellers 3.Trent Hindman | 2.Madison Snow
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,50,GTD,Riley Motorsports - WeatherTech Racing,Porsche 911 GT3 R,Cooper MacNeil,Gunnar Jeannette,Patrick Long,,,Riley Motorsports - WeatherTech Porsche 911 GT3 R | Racing GTD | 1.Cooper MacNeil 3.Patrick Long | 2.Gunnar Jeannette
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,52,LMP2,PR1/Mathiasen Motorsports,Ligier P,Jose Gutierrez,Olivier Pla,Julien Canal,,,PR1/Mathiasen Motorsports Ligier LMP2 | P | 1.Jose Gutierrez 3.Julien Canal | 2.Olivier Pla
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,54,GTD,CORE autosport,Porsche 911 GT3 R,Jonathan Bennett,Colin Braun,Nic Jonsson,,,CORE autosport Porsche 911 GT3 R | GTD | 1.Jonathan Bennett 3.Nic Jonsson | 2.Colin Braun
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,57,GTD,Stevenson Motorsports,Audi R8 LMS GT3,Lawson Aschenbach,Andrew Davis,Matt Bell,,,Stevenson Motorsports Audi R8 LMS GT3 | GTD | 1.Lawson Aschenbach 3.Matt Bell | 2.Andrew Davis
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,62,GTLM,Risi Competizione,Ferrari 488 GTE,Giancarlo Fisichella,Toni Vilander,Alessandro Pier Guidi,,,Risi Competizione Ferrari 488 GTE | GTLM | 1.Giancarlo Fisichella 3.Alessandro Pier Guidi | 2.Toni Vilander
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,63,GTD,Scuderia Corsa,Ferrari 488 GT3,Christina Nielsen,Alessandro Balzan,Matteo Cressoni,,,Scuderia Corsa Ferrari 488 GT3 | GTD | 1.Christina Nielsen 3.Matteo Cressoni | 2.Alessandro Balzan
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,66,GTLM,Ford Chip Ganassi Racing,Ford GT,Dirk Mueller,Joey Hand,Sebastien Bourdais,,,Ford Chip Ganassi Racing Ford GT | GTLM | 1.Dirk Mueller 3.Sebastien Bourdais | 2.Joey Hand
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,67,GTLM,Ford Chip Ganassi Racing,Ford GT,Ryan Briscoe,Richard Westbrook,Scott Dixon,,,Ford Chip Ganassi Racing Ford GT | GTLM | 1.Ryan Briscoe 3.Scott Dixon | 2.Richard Westbrook
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,73,GTD,Park Place Motorsports,Porsche 911 GT3 R,Patrick Lindsey,Joerg Bergmeister,Matthew McMurry,,,Park Place Motorsports Porsche 911 GT3 R | GTD | 1.Patrick Lindsey 3.Matthew McMurry | 2.Joerg Bergmeister
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,75,GTD,SunEnergy1 Racing,Mercedes-AMG GT3,Tristan Vautier,Kenny Habul,Dion von Moltke,,,SunEnergy1 Racing Mercedes-AMG GT3 | GTD | 1.Tristan Vautier 3.Dion von Moltke | 2.Kenny Habul
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,85,LMP2,JDC-Miller Motorsports,ORECA P,Chris Miller,Stephen Simpson,Misha Goikhberg,,,JDC-Miller Motorsports ORECA LMP2 | P | 1.Chris Miller 3.Misha Goikhberg | 2.Stephen Simpson
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,86,GTD,Michael Shank Racing w/ Curb-Agajanian,Acura NSX GT3,Jeff Segal,Oswaldo Negri Jr.,Tom Dyer,,,Michael Shank Racing w/ Acura NSX GT3 | Curb-Agajanian GTD | 1.Jeff Segal 3.Tom Dyer | 2.Oswaldo Negri Jr.
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,90,LMP2,Visit Florida Racing,Ligier P,Marc Goossens,Renger Van Der Zande,Jonathan Bomarito,,,Visit Florida Racing Ligier LMP2 | P | 1.Marc Goossens 3.Jonathan Bomarito | 2.Renger Van Der Zande
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,93,GTD,Michael Shank Racing w/ Curb-Agajanian,Acura NSX GT3,Andy Lally,Katherine Legge,Mark Wilkins,,,Michael Shank Racing w/ Acura NSX GT3 | Curb-Agajanian GTD | 1.Andy Lally 3.Mark Wilkins | 2.Katherine Legge
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,96,GTD,Turner Motorsport,BMW M6 GT3,Justin Marks,Jens Klingmann,Jesse Krohn,,,Turner Motorsport BMW M6 GT3 | GTD | 1.Justin Marks 3.Jesse Krohn | 2.Jens Klingmann
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,911,GTLM,Porsche GT Team,Porsche RSR,Patrick Pilet,Dirk Werner,Nick Tandy,,,Porsche GT Team Porsche 911 RSR | GTLM | 1.Patrick Pilet 3.Nick Tandy | 2.Dirk Werner
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,912,GTLM,Porsche GT Team,Porsche 911 RSR,Gianmaria Bruni,Laurens Vanthoor,Earl Bamber,,,Porsche GT Team Porsche 911 RSR | GTLM | 1.Gianmaria Bruni 3.Earl Bamber | 2.Laurens Vanthoor
