year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stint_number,driver,start_time,end_time,segment_type,segment_time,cumulative_track_time,cumulative_driver_time,source_report,source_page,source_column
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,25,BMW Team RLL | BMW M6 GTLM GTLM,1,D. Werner,15:06:11.268,15:37:22.027,TRACK,31:10.759,31:10.759,31:10.759,20_Drive Time.PDF,3,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,25,BMW Team RLL | BMW M6 GTLM GTLM,,D. Werner,15:37:22.027,15:37:56.896,PIT,34.869,31:10.759,31:45.628,20_Drive Time.PDF,3,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,25,BMW Team RLL | BMW M6 GTLM GTLM,2,D. Werner,15:37:56.896,16:33:51.931,TRACK,55:55.035,1:27:05.794,1:27:40.663,20_Drive Time.PDF,3,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,27,Dream Racing | Lamborghini Huracan GT3 GTD,1,L. DeGeorge,15:06:11.268,15:09:07.797,TRACK,2:56.529,2:56.529,2:56.529,20_Drive Time.PDF,3,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,27,Dream Racing | Lamborghini Huracan GT3 GTD,,,15:09:07.797,15:10:14.083,PIT,1:06.286,,,20_Drive Time.PDF,3,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,27,Dream Racing | Lamborghini Huracan GT3 GTD,2,C. Sbirrazzuoli,15:10:14.083,15:31:09.738,TRACK,20:55.655,20:55.655,20:55.655,20_Drive Time.PDF,3,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,27,Dream Racing | Lamborghini Huracan GT3 GTD,,C. Sbirrazzuoli,15:31:09.738,15:32:21.924,PIT,1:12.186,20:55.655,22:07.841,20_Drive Time.PDF,3,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,27,Dream Racing | Lamborghini Huracan GT3 GTD,3,C. Sbirrazzuoli,15:32:21.924,16:15:39.422,TRACK,43:17.498,1:04:13.153,1:05:25.339,20_Drive Time.PDF,3,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,27,Dream Racing | Lamborghini Huracan GT3 GTD,,C. Sbirrazzuoli,16:15:39.422,16:16:31.018,PIT,51.596,1:04:13.153,1:06:16.935,20_Drive Time.PDF,3,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,27,Dream Racing | Lamborghini Huracan GT3 GTD,4,C. Sbirrazzuoli,16:16:31.018,17:19:46.284,TRACK,1:03:15.266,2:07:28.419,2:09:32.201,20_Drive Time.PDF,3,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,27,Dream Racing | Lamborghini Huracan GT3 GTD,,C. Sbirrazzuoli,17:19:46.284,17:20:37.557,PIT,51.273,2:07:28.419,2:10:23.474,20_Drive Time.PDF,3,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,27,Dream Racing | Lamborghini Huracan GT3 GTD,5,C. Sbirrazzuoli,17:20:37.557,17:46:11.268,TRACK,25:33.711,2:33:02.130,2:35:57.185,20_Drive Time.PDF,3,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,33,Riley Motorsports | Dodge Viper GT3-R GTD,1,B. Keating,15:06:11.268,15:44:55.255,TRACK,38:43.987,38:43.987,38:43.987,20_Drive Time.PDF,4,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,33,Riley Motorsports | Dodge Viper GT3-R GTD,,B. Keating,15:44:55.255,15:45:38.853,PIT,43.598,38:43.987,39:27.585,20_Drive Time.PDF,4,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,33,Riley Motorsports | Dodge Viper GT3-R GTD,2,B. Keating,15:45:38.853,16:42:04.745,TRACK,56:25.892,1:35:09.879,1:35:53.477,20_Drive Time.PDF,4,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,33,Riley Motorsports | Dodge Viper GT3-R GTD,,,16:42:04.745,16:42:54.229,PIT,49.484,,,20_Drive Time.PDF,4,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,33,Riley Motorsports | Dodge Viper GT3-R GTD,3,J. Bleekemolen,16:42:54.229,17:46:11.268,TRACK,1:03:17.039,1:03:17.039,1:03:17.039,20_Drive Time.PDF,4,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,38,Performance Tech Motorsports | ORECA FLM09 PC,1,J. French,15:06:11.268,16:19:16.358,TRACK,1:13:05.090,1:13:05.090,1:13:05.090,20_Drive Time.PDF,4,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,38,Performance Tech Motorsports | ORECA FLM09 PC,,,16:19:16.358,16:20:09.792,PIT,53.434,,,20_Drive Time.PDF,4,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,38,Performance Tech Motorsports | ORECA FLM09 PC,2,K. Marcelli,16:20:09.792,16:45:34.407,TRACK,25:24.615,25:24.615,25:24.615,20_Drive Time.PDF,4,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,38,Performance Tech Motorsports | ORECA FLM09 PC,,K. Marcelli,16:45:34.407,16:46:24.876,PIT,50.469,25:24.615,26:15.084,20_Drive Time.PDF,4,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,38,Performance Tech Motorsports | ORECA FLM09 PC,3,K. Marcelli,16:46:24.876,17:46:11.268,TRACK,59:46.392,1:25:11.007,1:26:01.476,20_Drive Time.PDF,4,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,44,Magnus Racing | Audi R8 LMS GT3 GTD,1,J. Potter,15:06:11.268,15:57:43.757,TRACK,51:32.489,51:32.489,51:32.489,20_Drive Time.PDF,4,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,44,Magnus Racing | Audi R8 LMS GT3 GTD,,,15:57:43.757,15:58:40.498,PIT,56.741,,,20_Drive Time.PDF,4,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,44,Magnus Racing | Audi R8 LMS GT3 GTD,2,A. Lally,15:58:40.498,16:42:05.243,TRACK,43:24.745,43:24.745,43:24.745,20_Drive Time.PDF,4,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,44,Magnus Racing | Audi R8 LMS GT3 GTD,,A. Lally,16:42:05.243,16:43:06.043,PIT,1:00.800,43:24.745,44:25.545,20_Drive Time.PDF,4,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,44,Magnus Racing | Audi R8 LMS GT3 GTD,3,A. Lally,16:43:06.043,17:46:11.268,TRACK,1:03:05.225,1:46:29.970,1:47:30.770,20_Drive Time.PDF,4,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,48,Paul Miller Racing | Lamborghini Huracan GT3 GTD,1,M. Snow,15:06:11.268,15:31:50.519,TRACK,25:39.251,25:39.251,25:39.251,20_Drive Time.PDF,4,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,48,Paul Miller Racing | Lamborghini Huracan GT3 GTD,,M. Snow,15:31:50.519,15:32:30.016,PIT,39.497,25:39.251,26:18.748,20_Drive Time.PDF,4,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,48,Paul Miller Racing | Lamborghini Huracan GT3 GTD,2,M. Snow,15:32:30.016,16:42:01.008,TRACK,1:09:30.992,1:35:10.243,1:35:49.740,20_Drive Time.PDF,4,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,48,Paul Miller Racing | Lamborghini Huracan GT3 GTD,,,16:42:01.008,16:42:59.806,PIT,58.798,,,20_Drive Time.PDF,4,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,48,Paul Miller Racing | Lamborghini Huracan GT3 GTD,3,B. Sellers,16:42:59.806,17:46:11.268,TRACK,1:03:11.462,1:03:11.462,1:03:11.462,20_Drive Time.PDF,4,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,52,PR1/Mathiasen Motorsports | ORECA FLM09 PC,1,R. Alon,15:06:11.268,15:37:05.707,TRACK,30:54.439,30:54.439,30:54.439,20_Drive Time.PDF,4,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,52,PR1/Mathiasen Motorsports | ORECA FLM09 PC,,R. Alon,15:37:05.707,15:37:58.988,PIT,53.281,30:54.439,31:47.720,20_Drive Time.PDF,4,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,52,PR1/Mathiasen Motorsports | ORECA FLM09 PC,2,R. Alon,15:37:58.988,16:40:25.400,TRACK,1:02:26.412,1:33:20.851,1:34:14.132,20_Drive Time.PDF,5,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,52,PR1/Mathiasen Motorsports | ORECA FLM09 PC,,,16:40:25.400,16:41:16.842,PIT,51.442,,,20_Drive Time.PDF,5,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,52,PR1/Mathiasen Motorsports | ORECA FLM09 PC,3,T. Kimber-Smith,16:41:16.842,17:46:11.268,TRACK,1:04:54.426,1:04:54.426,1:04:54.426,20_Drive Time.PDF,5,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,54,CORE autosport | ORECA FLM09 PC,1,J. Bennett,15:06:11.268,16:07:05.274,TRACK,1:00:54.006,1:00:54.006,1:00:54.006,20_Drive Time.PDF,5,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,54,CORE autosport | ORECA FLM09 PC,,,16:07:05.274,16:08:06.409,PIT,1:01.135,,,20_Drive Time.PDF,5,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,54,CORE autosport | ORECA FLM09 PC,2,C. Braun,16:08:06.409,16:10:46.059,TRACK,2:39.650,2:39.650,2:39.650,20_Drive Time.PDF,5,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,54,CORE autosport | ORECA FLM09 PC,,C. Braun,16:10:46.059,16:11:04.420,PIT,18.361,2:39.650,2:58.011,20_Drive Time.PDF,5,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,54,CORE autosport | ORECA FLM09 PC,3,C. Braun,16:11:04.420,16:14:55.458,TRACK,3:51.038,6:30.688,6:49.049,20_Drive Time.PDF,5,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,54,CORE autosport | ORECA FLM09 PC,,C. Braun,16:14:55.458,16:22:20.284,PIT,7:24.826,6:30.688,14:13.875,20_Drive Time.PDF,5,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,54,CORE autosport | ORECA FLM09 PC,4,C. Braun,16:22:20.284,16:24:56.106,TRACK,2:35.822,9:06.510,16:49.697,20_Drive Time.PDF,5,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,54,CORE autosport | ORECA FLM09 PC,,C. Braun,16:24:56.106,17:46:11.268,PIT,1:21:15.162,9:06.510,1:38:04.859,20_Drive Time.PDF,5,1
