year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,44,GTD,Magnus with Archangel,Acura NSX GT3,John Potter,Andy Lally,Spencer Pumpelly,Mario Farnbacher,,Magnus with Archangel Acura NSX GT3 | GTD | 1.John Potter 3.Spencer Pumpelly | 2.Andy Lally 4.Mario Farnbacher
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,47,LMP2,Cetilar Racing,Dallara,Roberto Lacorte,Antonio Fuoco,Andrea Belicchi,Giorgio Sernagiotto,,Cetilar Racing Dallara LMP2 | LMP2 | 1.Roberto Lacorte 3.Andrea Belicchi | 2.Antonio Fuoco 4.Giorgio Sernagiotto
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,48,DPi,Ally Cadillac Racing,Cadillac,Jimmie Johnson,Kamui Kobayashi,Simon Pagenaud,Mike Rockenfeller,,Ally Cadillac Racing Cadillac DPi | DPi | 1.Jimmie Johnson 3.Simon Pagenaud | 2.Kamui Kobayashi 4.Mike Rockenfeller
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,51,LMP2,RWR-Eurasia,Ligier,Cody Ware,Salih Yoluc,Austin Dillon,Sven Muller,,RWR-Eurasia Ligier LMP2 | LMP2 | 1.Cody Ware 3.Austin Dillon | 2.Salih Yoluc 4.Sven Muller
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,52,LMP2,PR1 Mathiasen Motorsports,ORECA 07,Ben Keating,Mikkel Jensen,Scott Huffaker,Nicolas Lapierre,,PR1 Mathiasen Motorsports ORECA LMP2 07 | LMP2 | 1.Ben Keating 3.Scott Huffaker | 2.Mikkel Jensen 4.Nicolas Lapierre
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,54,LMP3,Core Autosport,Ligier JS P320,Jonathan Bennett,George Kurtz,Colin Braun,Matt McMurry,,Core Autosport Ligier JS P320 | LMP3 | 1.Jonathan Bennett 3.Colin Braun | 2.George Kurtz 4.Matt McMurry
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,55,DPi,Mazda Motorsports,Mazda,Oliver Jarvis,Harry Tincknell,Jonathan Bomarito,,,Mazda Motorsports Mazda DPi | DPi | 1.Oliver Jarvis 3.Jonathan Bomarito | 2.Harry Tincknell
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,57,GTD,Winward Racing,Mercedes-AMG GT3,Russell Ward,Philip Ellis,Indy Dontje,Maro Engel,,Winward Racing Mercedes-AMG GT3 | GTD | 1.Russell Ward 3.Indy Dontje | 2.Philip Ellis 4.Maro Engel
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,60,DPi,Meyer Shank Racing w/Curb-Agajanian,Acura,Dane Cameron,Olivier Pla,Juan Pablo Montoya,AJ Allmendinger,,Meyer Shank Racing Acura DPi | w/Curb-Agajanian DPi | 1.Dane Cameron 3.Juan Pablo Montoya | 2.Olivier Pla 4.AJ Allmendinger
2021,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2021-01-30,202101301540_Race,62,GTLM,Risi Competizione,Ferrari 488 GTE,James Calado,Alessandro Pier Guidi,Jules Gounon,Davide Rigon,,Risi Competizione Ferrari 488 GTE | GTLM | 1.James Calado 3.Jules Gounon | 2.Alessandro Pier Guidi 4.Davide Rigon
