year,event_code,event_name,track_slug,race_date,session_directory,position,class,car_number,team,vehicle,driver,fastest_lap_time,driver_lap_number,driver_total_laps,gap_to_fastest,interval,speed_mph,source_report,source_page
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,34,GTDPRO,48,Paul Miller Racing,BMW M4 GT3 EVO,Max Hesse,1:10.820,16,58,4.179,0.045,83.620,06_Fastest Lap By Driver_Race.PDF,1
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,35,GTDPRO,81,DragonSpeed,Ferrari 296 GT3,Albert Costa,1:10.843,72,76,4.202,0.023,83.593,06_Fastest Lap By Driver_Race.PDF,1
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,36,GTDPRO,9,Pfaff Motorsports,Lamborghini Huracan GT3 EVO2,Andrea Caldarelli,1:10.920,20,21,4.279,0.077,83.502,06_Fastest Lap By Driver_Race.PDF,1
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,37,GTDPRO,15,Vasser Sullivan Racing,Lexus RC F GT3,Parker Thompson,1:11.042,4,74,4.401,0.122,83.359,06_Fastest Lap By Driver_Race.PDF,1
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,38,GTDPRO,65,Ford Multimatic Motorsports,Ford Mustang GT3,Christopher Mies,1:11.053,9,11,4.412,0.011,83.346,06_Fastest Lap By Driver_Race.PDF,2
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,39,GTDPRO,1,Paul Miller Racing,BMW M4 GT3 EVO,Neil Verhagen,1:11.072,10,11,4.431,0.019,83.323,06_Fastest Lap By Driver_Race.PDF,2
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,40,GTDPRO,1,Paul Miller Racing,BMW M4 GT3 EVO,Madison Snow,1:11.235,57,64,4.594,0.163,83.133,06_Fastest Lap By Driver_Race.PDF,2
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,41,GTDPRO,77,AO Racing,Porsche 911 GT3 R (992),Klaus Bachler,1:11.891,16,18,5.250,0.656,82.374,06_Fastest Lap By Driver_Race.PDF,2
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,42,GTDPRO,15,Vasser Sullivan Racing,Lexus RC F GT3,Frankie Montecalvo,1:15.535,5,6,8.894,3.644,78.400,06_Fastest Lap By Driver_Race.PDF,2
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,43,GTDPRO,4,Corvette Racing by Pratt Miller Motorsports,Chevrolet Corvette Z06 GT3.R,Tommy Milner,1:17.366,2,4,10.725,1.831,76.545,06_Fastest Lap By Driver_Race.PDF,2
2025,11_Detroit Street Course,Detroit Street Course,detroit-street-course,2025-05-31,202505311640_Race,44,GTDPRO,81,DragonSpeed,Ferrari 296 GT3,Rasmus Lindh,1:19.387,2,4,12.746,2.021,74.596,06_Fastest Lap By Driver_Race.PDF,2
