year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,01,DPi,Cadillac Racing,Cadillac,Renger van der Zande,Sebastien Bourdais,,,,Cadillac Racing Cadillac DPi | DPi | 1.Renger van der Zande | 2.Sebastien Bourdais
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,36,LMP3,Andretti Autosport,Ligier JS P320,Jarett Andretti,Gabby Chaves,,,,Andretti Autosport Ligier JS P320 | LMP3 | 1.Jarett Andretti | 2.Gabby Chaves
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,38,LMP3,Performance Tech Motorsports,Ligier JS P320,Dan Goldburg,Rasmus Lindh,,,,Performance Tech Motorsports Ligier JS P320 | LMP3 | 1.Dan Goldburg | 2.Rasmus Lindh
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,39,GTD,CarBahn with Peregrine Racing Lamborghini,Huracan GT3,Robert Megennis,Jeff Westphal,,,,CarBahn with Peregrine Racing Lamborghini Huracan GT3 | GTD | 1.Robert Megennis | 2.Jeff Westphal
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,51,GTD,Rick Ware Racing,Acura NSX GT3,Ryan Eversley,Aidan Read,,,,Rick Ware Racing Acura NSX GT3 | GTD | 1.Ryan Eversley | 2.Aidan Read
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,52,LMP2,PR1 Mathiasen Motorsports,ORECA 07,Josh Pierson,Patrick Kelly,,,,PR1 Mathiasen Motorsports ORECA LMP2 07 | LMP2 | 1.Josh Pierson | 2.Patrick Kelly
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,54,LMP3,CORE Autosport,Ligier JS P320,Jon Bennett,Colin Braun,,,,CORE Autosport Ligier JS P320 | LMP3 | 1.Jon Bennett | 2.Colin Braun
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,57,GTD,Winward Racing,Mercedes-AMG GT3,Russell Ward,Philip Ellis,,,,Winward Racing Mercedes-AMG GT3 | GTD | 1.Russell Ward | 2.Philip Ellis
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,58,LMP3,MLT Motorsports,Ligier JS P320,Dakota Dickerson,Josh Sarchet,,,,MLT Motorsports Ligier JS P320 | LMP3 | 1.Dakota Dickerson | 2.Josh Sarchet
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,60,DPi,Meyer Shank Racing W/Curb-Agajanian,Acura,Oliver Jarvis,Tom Blomqvist,,,,Meyer Shank Racing Acura DPi | W/Curb-Agajanian DPi | 1.Oliver Jarvis | 2.Tom Blomqvist
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,70,GTD,inception racing,McLaren 720S GT3,Brendan Iribe,Jordan Pepper,,,,inception racing McLaren 720S GT3 | GTD | 1.Brendan Iribe | 2.Jordan Pepper
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,74,LMP3,Riley Motorsports,Ligier JS P320,Gar Robinson,Felipe Fraga,,,,Riley Motorsports Ligier JS P320 | LMP3 | 1.Gar Robinson | 2.Felipe Fraga
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,81,LMP2,DragonSpeed USA,ORECA 07,Henrik Hedman,Juan Pablo Montoya,,,,DragonSpeed USA ORECA LMP2 07 | LMP2 | 1.Henrik Hedman | 2.Juan Pablo Montoya
2022,08_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2022-05-15,202205151410_Race,96,GTD,Turner Motorsport,BMW M4 GT3,Robby Foley,Bill Auberlen,,,,Turner Motorsport BMW M4 GT3 | GTD | 1.Robby Foley | 2.Bill Auberlen
