year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2020,15_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-11-14,202011141010_Race,3,GTLM,Corvette Racing,Chevrolet Corvette C8.R,Antonio Garcia,Jordan Taylor,Nicky Catsburg,,,Corvette Racing Chevrolet Corvette C8.R | GTLM | 1.Antonio Garcia 3.Nicky Catsburg | 2.Jordan Taylor
2020,15_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-11-14,202011141010_Race,23,GTD,Heart Of Racing Team Aston,Martin Vantage GT3,Ian James,Roman De Angelis,Darren Turner,,,Heart Of Racing Team Aston Martin Vantage GT3 | GTD | 1.Ian James 3.Darren Turner | 2.Roman De Angelis
2020,15_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-11-14,202011141010_Race,24,GTLM,BMW Team RLL,BMW M8 GTE,Jesse Krohn,John Edwards,Augusto Farfus,,,BMW Team RLL BMW M8 GTE | GTLM | 1.Jesse Krohn 3.Augusto Farfus | 2.John Edwards
2020,15_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-11-14,202011141010_Race,25,GTLM,BMW Team RLL,BMW M8 GTE,Bruno Spengler,Connor De Phillippi,Colton Herta,,,BMW Team RLL BMW M8 GTE | GTLM | 1.Bruno Spengler 3.Colton Herta | 2.Connor De Phillippi
2020,15_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-11-14,202011141010_Race,30,GTD,Team Hardpoint,Audi R8 LMS GT3,Rob Ferriol,Andrew Davis,Pierre Kaffer,,,Team Hardpoint Audi R8 LMS GT3 | GTD | 1.Rob Ferriol 3.Pierre Kaffer | 2.Andrew Davis
2020,15_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-11-14,202011141010_Race,31,DPi,Whelen Engineering Racing,Cadillac,Felipe Nasr,Pipo Derani,Gabby Chaves,,,Whelen Engineering Racing Cadillac DPi | DPi | 1.Felipe Nasr 3.Gabby Chaves | 2.Pipo Derani
2020,15_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-11-14,202011141010_Race,38,LMP2,Performance Tech Motorsports,ORECA 07,Don Yount,Patrick Byrne,Guy Cosmo,,,Performance Tech Motorsports ORECA LMP2 07 | LMP2 | 1.Don Yount 3.Guy Cosmo | 2.Patrick Byrne
2020,15_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-11-14,202011141010_Race,44,GTD,GRT Magnus,Lamborghini Huracan GT3,John Potter,Andy Lally,Spencer Pumpelly,,,GRT Magnus Lamborghini Huracan GT3 | GTD | 1.John Potter 3.Spencer Pumpelly | 2.Andy Lally
2020,15_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-11-14,202011141010_Race,48,GTD,Paul Miller Racing,Lamborghini Huracan GT3,Bryan Sellers,Madison Snow,Corey Lewis,,,Paul Miller Racing Lamborghini Huracan GT3 | GTD | 1.Bryan Sellers 3.Corey Lewis | 2.Madison Snow
2020,15_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-11-14,202011141010_Race,51,LMP2,Inter Europol Competition,ORECA 07,Jakub Smiechowski,Naveen Rao,Matthew Bell,,,Inter Europol Competition ORECA LMP2 07 | LMP2 | 1.Jakub Smiechowski 3.Matthew Bell | 2.Naveen Rao
2020,15_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-11-14,202011141010_Race,52,LMP2,PR1 Mathiasen Motorsports,ORECA 07,Patrick Kelly,Simon Trummer,Scott Huffaker,,,PR1 Mathiasen Motorsports ORECA LMP2 07 | LMP2 | 1.Patrick Kelly 3.Scott Huffaker | 2.Simon Trummer
2020,15_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-11-14,202011141010_Race,55,DPi,Mazda Motorsports,Mazda,Jonathan Bomarito,Harry Tincknell,Ryan Hunter-Reay,,,Mazda Motorsports Mazda DPi | DPi | 1.Jonathan Bomarito 3.Ryan Hunter-Reay | 2.Harry Tincknell
2020,15_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-11-14,202011141010_Race,57,GTD,Heinricher Racing w/MSR Curb-Agajanian,Acura NSX GT3,Joey Hand,Misha Goikhberg,Trent Hindman,,,Heinricher Racing w/MSR Acura NSX GT3 | Curb-Agajanian GTD | 1.Joey Hand 3.Trent Hindman | 2.Misha Goikhberg
2020,15_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-11-14,202011141010_Race,63,GTD,Scuderia Corsa,Ferrari 488 GT3,Cooper MacNeil,Alessandro Balzan,Jeff Westphal,,,Scuderia Corsa Ferrari 488 GT3 | GTD | 1.Cooper MacNeil 3.Jeff Westphal | 2.Alessandro Balzan
2020,15_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-11-14,202011141010_Race,74,GTD,Riley Motorsports,Mercedes-AMG GT3,Gar Robinson,Lawson Aschenbach,Marc Miller,,,Riley Motorsports Mercedes-AMG GT3 | GTD | 1.Gar Robinson 3.Marc Miller | 2.Lawson Aschenbach
2020,15_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-11-14,202011141010_Race,77,DPi,Mazda Motorsports,Mazda,Oliver Jarvis,Tristan Nunez,Olivier Pla,,,Mazda Motorsports Mazda DPi | DPi | 1.Oliver Jarvis 3.Olivier Pla | 2.Tristan Nunez
2020,15_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-11-14,202011141010_Race,85,DPi,JDC-Miller MotorSports,Cadillac,Stephen Simpson,Matheus Leist,Scott Andrews,,,JDC-Miller MotorSports Cadillac DPi | DPi | 1.Stephen Simpson 3.Scott Andrews | 2.Matheus Leist
2020,15_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-11-14,202011141010_Race,86,GTD,Meyer Shank Racing w/Curb-Agajanian,Acura NSX GT3,Mario Farnbacher,Matt McMurry,Shinya Michimi,,,Meyer Shank Racing Acura NSX GT3 | w/Curb-Agajanian GTD | 1.Mario Farnbacher 3.Shinya Michimi | 2.Matt McMurry
2020,15_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-11-14,202011141010_Race,96,GTD,Turner Motorsport,BMW M6 GT3,Robby Foley,Dillon Machavern,Nick Yelloly,,,Turner Motorsport BMW M6 GT3 | GTD | 1.Robby Foley 3.Nick Yelloly | 2.Dillon Machavern
2020,15_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-11-14,202011141010_Race,911,GTLM,Porsche GT Team,Porsche RSR - 19,Nick Tandy,Fred Makowiecki,Earl Bamber,,,Porsche GT Team Porsche 911 RSR - 19 | GTLM | 1.Nick Tandy 3.Earl Bamber | 2.Fred Makowiecki
2020,15_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2020-11-14,202011141010_Race,912,GTLM,Porsche GT Team,Porsche 911 RSR - 19,Earl Bamber,Laurens Vanthoor,Neel Jani,,,Porsche GT Team Porsche 911 RSR - 19 | GTLM | 1.Earl Bamber 3.Neel Jani | 2.Laurens Vanthoor
