year,event_code,event_name,track_slug,race_date,session_directory,class_position,class,car_number,drivers,team,vehicle,laps,total_time,gap_to_class_leader,interval,status,best_lap_number,best_lap_time,best_lap_speed_mph,source_report,source_page
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,3,GTD,75,T. Vautier / K. Habul / B. Said,SunEnergy1 Racing,Mercedes-AMG GT3,324,12:01:21.397,1 Laps,3.781,,177,2:01.927,110.4,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,4,GTD,29,C. De Phillippi / C. Mies / J. Gounon,Montaplast by Land-Motorsport,Audi R8 LMS GT3,324,12:01:22.978,1 Laps,1.581,,6,2:02.128,110.2,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,5,GTD,48,B. Sellers / M. Snow / D. von Moltke,Paul Miller Racing,Lamborghini Huracan GT3,324,12:01:24.496,1 Laps,1.518,,312,2:02.215,110.1,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,6,GTD,73,P. Lindsey / J. Bergmeister / M. McMurry / J. Heylen,Park Place Motorsports,Porsche 911 GT3 R,324,12:01:41.377,1 Laps,16.881,,312,2:02.982,109.4,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,7,GTD,57,L. Aschenbach / M. Bell / A. Davis,Stevenson Motorsports,Audi R8 LMS GT3,324,12:01:56.097,1 Laps,14.720,,305,2:01.991,110.3,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,8,GTD,86,J. Segal / O. Negri Jr. / T. Dyer,Michael Shank Racing w/ Curb-Agajanian,Acura NSX GT3,324,12:01:57.160,1 Laps,1.063,,49,2:03.123,109.3,05_Results by Class - Official.PDF,2
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,9,GTD,11,C. Engelhart / R. Ineichen / R. Antinucci / M. Bortolotti,GRT Grasser Racing Team,Lamborghini Huracan GT3,323,11:59:23.452,2 Laps,1 Laps,,166,2:02.136,110.2,05_Results by Class - Official.PDF,2
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,10,GTD,28,M. de Quesada / D. Morad / S. Pumpelly / M. Christensen,Alegra Motorsports,Porsche 911 GT3 R,323,12:01:36.607,2 Laps,2:13.155,,100,2:02.687,109.7,05_Results by Class - Official.PDF,2
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,11,GTD,16,C. Lewis / J. Mul / B. Sandberg,Change Racing,Lamborghini Huracan GT3,322,11:57:11.941,3 Laps,1 Laps,,26,2:02.184,110.1,05_Results by Class - Official.PDF,2
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,12,GTD,46,E. Busnelli / F. Babini / M. Beretta / E. Collard,EBIMOTORS,Lamborghini Huracan GT3,322,12:02:18.421,3 Laps,5:06.480,,64,2:02.413,109.9,05_Results by Class - Official.PDF,2
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,13,GTD,15,R. Alon / J. Hawksworth / A. Cindric,3GT Racing,Lexus RCF GT3,320,12:01:40.467,5 Laps,2 Laps,,98,2:01.674,110.6,05_Results by Class - Official.PDF,2
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,14,GTD,93,A. Lally / K. Legge / M. Wilkins,Michael Shank Racing w/ Curb-Agajanian,Acura NSX GT3,318,12:01:57.577,7 Laps,2 Laps,,143,2:02.542,109.8,05_Results by Class - Official.PDF,2
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,15,GTD,23,B. Sweedler / T. Bell / F. Montecalvo,Alex Job Racing,Audi R8 LMS GT3,309,12:02:13.511,16 Laps,9 Laps,,141,2:03.320,109.1,05_Results by Class - Official.PDF,2
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,16,GTD,54,J. Bennett / C. Braun / N. Jonsson,CORE autosport,Porsche 911 GT3 R,283,10:49:17.571,42 Laps,26 Laps,Not Running,161,2:02.260,110.1,05_Results by Class - Official.PDF,2
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,17,GTD,18,E. Anassis / B. Gdovic / A. Massari,DAC Motorsports,Lamborghini Huracan GT3,282,12:02:19.387,43 Laps,1 Laps,,162,2:04.054,108.4,05_Results by Class - Official.PDF,2
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,18,GTD,14,S. Pruett / S. Karam / I. James,3GT Racing,Lexus RCF GT3,269,12:02:24.232,56 Laps,13 Laps,,251,2:02.052,110.2,05_Results by Class - Official.PDF,2
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,19,GTD,27,C. Sbirrazzuoli / P. Ruberti / L. Persiani,Dream Racing Motorsport,Lamborghini Huracan GT3,255,9:24:08.436,70 Laps,14 Laps,,4,2:02.313,110.0,05_Results by Class - Official.PDF,2
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,20,GTD,96,J. Marks / J. Klingmann / J. Krohn,Turner Motorsport,BMW M6 GT3,228,8:58:25.900,97 Laps,27 Laps,,149,2:02.260,110.1,05_Results by Class - Official.PDF,2
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,21,GTD,50,C. MacNeil / G. Jeannette / S. Van Gisbergen,Riley Motorsports - WeatherTech Racing,Mercedes-AMG GT3,132,5:52:34.911,193 Laps,96 Laps,Not Running,90,2:01.860,110.4,05_Results by Class - Official.PDF,2
