year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2025,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2025-03-15,202503151010_Race,18,LMP2,Era Motorsport,ORECA 07,Kaku Ohta,David Heinemeier Hansson,Tobi Lutke,,,Era Motorsport ORECA LMP2 07 | LMP2 | 1.Kaku Ohta 3.Tobi Lutke | 2.David Heinemeier Hansson
2025,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2025-03-15,202503151010_Race,19,GTD,van der Steur Racing Aston Martin,Vantage GT3 Evo,Rory van der Steur,Valentin Hasse-Clot,Anthony McIntosh,,,van der Steur Racing Aston Martin Vantage GT3 Evo | GTD | 1.Rory van der Steur 3.Anthony McIntosh | 2.Valentin Hasse-Clot
2025,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2025-03-15,202503151010_Race,20,GTD PRO,Proton Competition Porsche,911 GT3 R (992),Claudio Schiavoni,Matteo Cressoni,Richard Lietz,,,Proton Competition Porsche 911 GT3 R (992) | GTDPRO | 1.Claudio Schiavoni 3.Richard Lietz | 2.Matteo Cressoni
2025,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2025-03-15,202503151010_Race,021,GTD,Triarsi Competizione,Ferrari 296 GT3,Sheena Monk,Stevan McAleer,Mike Skeen,,,Triarsi Competizione Ferrari 296 GT3 | GTD | 1.Sheena Monk 3.Mike Skeen | 2.Stevan McAleer
2025,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2025-03-15,202503151010_Race,21,GTD,Af Corse,Ferrari 296 GT3,Simon Mann,Lilou Wadoux Ducellier,Alessandro Pier Guidi,,,Af Corse Ferrari 296 GT3 | GTD | 1.Simon Mann 3.Alessandro Pier Guidi | 2.Lilou Wadoux Ducellier
2025,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2025-03-15,202503151010_Race,22,LMP2,United Autosports USA,ORECA 07,Daniel Goldburg,Paul Di Resta,Rasmus Lindh,,,United Autosports USA ORECA LMP2 07 | LMP2 | 1.Daniel Goldburg 3.Rasmus Lindh | 2.Paul Di Resta
2025,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2025-03-15,202503151010_Race,023,GTD,Triarsi Competizione,Ferrari 296 GT3,Onofrio Triarsi,Charles Scardina,Alessio Rovera,,,Triarsi Competizione Ferrari 296 GT3 | GTD | 1.Onofrio Triarsi 3.Alessio Rovera | 2.Charles Scardina
2025,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2025-03-15,202503151010_Race,23,GTP,ASTON MARTIN THOR Team,Aston Martin Valkyrie,Ross Gunn,Roman De Angelis,Alex Riberas,,,ASTON MARTIN THOR Team Aston Martin Valkyrie | GTP | 1.Ross Gunn 3.Alex Riberas | 2.Roman De Angelis
2025,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2025-03-15,202503151010_Race,24,GTP,BMW M Team RLL,BMW M Hybrid V8,Philipp Eng,Dries Vanthoor,Kevin Magnussen,,,BMW M Team RLL BMW M Hybrid V8 | GTP | 1.Philipp Eng 3.Kevin Magnussen | 2.Dries Vanthoor
2025,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2025-03-15,202503151010_Race,25,GTP,BMW M Team RLL,BMW M Hybrid V8,Marco Wittmann,Sheldon van der Linde,Robin Frijns,,,BMW M Team RLL BMW M Hybrid V8 | GTP | 1.Marco Wittmann 3.Robin Frijns | 2.Sheldon van der Linde
2025,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2025-03-15,202503151010_Race,27,GTD,Heart of Racing Team Aston Martin,Vantage GT3 Evo,Tom Gamble,Casper Stevenson,Zacharie Robichon,,,Heart of Racing Team Aston Martin Vantage GT3 Evo | GTD | 1.Tom Gamble 3.Zacharie Robichon | 2.Casper Stevenson
2025,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2025-03-15,202503151010_Race,31,GTP,Cadillac Whelen,Cadillac V-Series.R,Jack Aitken,Earl Bamber,Frederik Vesti,,,Cadillac Whelen Cadillac V-Series.R | GTP | 1.Jack Aitken 3.Frederik Vesti | 2.Earl Bamber
2025,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2025-03-15,202503151010_Race,32,GTD,Korthoff Competition Motors,Mercedes-AMG GT3,Seth Lucas,Kenton Koch,Maximilian Goetz,,,Korthoff Competition Motors Mercedes-AMG GT3 | GTD | 1.Seth Lucas 3.Maximilian Goetz | 2.Kenton Koch
2025,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2025-03-15,202503151010_Race,34,GTD,Conquest Racing,Ferrari 296 GT3,Manny Franco,Daniel Serra,Cedric Sbirrazzuoli,,,Conquest Racing Ferrari 296 GT3 | GTD | 1.Manny Franco 3.Cedric Sbirrazzuoli | 2.Daniel Serra
2025,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2025-03-15,202503151010_Race,36,GTD,DXDT Racing Chevrolet,Corvette Z06 GT3.R,Salih Yoluc,Alec Udell,Charlie Eastwood,,,DXDT Racing Chevrolet Corvette Z06 GT3.R | GTD | 1.Salih Yoluc 3.Charlie Eastwood | 2.Alec Udell
2025,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2025-03-15,202503151010_Race,40,GTP,Wayne Taylor Racing,Cadillac V-Series.R,Jordan Taylor,Louis Deletraz,Brendon Hartley,,,Wayne Taylor Racing Cadillac V-Series.R | GTP | 1.Jordan Taylor 3.Brendon Hartley | 2.Louis Deletraz
2025,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2025-03-15,202503151010_Race,43,LMP2,Inter Europol Competition,ORECA 07,Tom Dillmann,Bijoy Garg,Jeremy Clarke,,,Inter Europol Competition ORECA LMP2 07 | LMP2 | 1.Tom Dillmann 3.Jeremy Clarke | 2.Bijoy Garg
2025,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2025-03-15,202503151010_Race,45,GTD,Wayne Taylor Racing Lamborghini,Huracan GT3 EVO2,Danny Formal,Trent Hindman,Graham Doyle,,,Wayne Taylor Racing Lamborghini Huracan GT3 EVO2 | GTD | 1.Danny Formal 3.Graham Doyle | 2.Trent Hindman
2025,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2025-03-15,202503151010_Race,47,GTD,CETILAR RACING,Ferrari 296 GT3,Lorenzo Patrese,Giorgio Sernagiotto,Antonio Fuoco,,,CETILAR RACING Ferrari 296 GT3 | GTD | 1.Lorenzo Patrese 3.Antonio Fuoco | 2.Giorgio Sernagiotto
2025,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2025-03-15,202503151010_Race,48,GTD PRO,Paul Miller Racing,BMW M4 GT3 EVO,Max Hesse,Dan Harper,Jesse Krohn,,,Paul Miller Racing BMW M4 GT3 EVO | GTDPRO | 1.Max Hesse 3.Jesse Krohn | 2.Dan Harper
