year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,66,GTD,Gradient Racing,Acura NSX GT3,Sheena Monk,Katherine Legge,Mario Farnbacher,Marc Miller,,Gradient Racing Acura NSX GT3 | GTD | 1.Sheena Monk 3.Mario Farnbacher | 2.Katherine Legge 4.Marc Miller
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,70,GTD,Inception Racing,McLaren 720S GT3,Brendan Iribe,Frederik Schandorff,Ollie Millroy,Marvin Kirchhofer,,Inception Racing McLaren 720S GT3 | GTD | 1.Brendan Iribe 3.Ollie Millroy | 2.Frederik Schandorff 4.Marvin Kirchhofer
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,74,LMP3,Riley,Ligier JS P320,Gar Robinson,Felipe Fraga,Josh Burdon,Glenn van Berlo,,Riley Ligier JS P320 | LMP3 | 1.Gar Robinson 3.Josh Burdon | 2.Felipe Fraga 4.Glenn van Berlo
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,75,GTD,Sun Energy 1,Mercedes-AMG GT3,Kenny Habul,Luca Stolz,Fabian Schiller,Axcil Jefferies,,Sun Energy 1 Mercedes-AMG GT3 | GTD | 1.Kenny Habul 3.Fabian Schiller | 2.Luca Stolz 4.Axcil Jefferies
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,77,GTD,Wright Motorsports Porsche,911 GT3 R (992),Alan Brynjolfsson,Trent Hindman,Maxwell Root,Kevin Estre,,Wright Motorsports Porsche 911 GT3 R (992) | GTD | 1.Alan Brynjolfsson 3.Maxwell Root | 2.Trent Hindman 4.Kevin Estre
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,78,GTD,US RaceTronics Lamborghini,Huracan GT3 EVO2,Misha Goikhberg,Loris Spinelli,Benja Hites,Marco Mapelli,,US RaceTronics Lamborghini Huracan GT3 EVO2 | GTD | 1.Misha Goikhberg 3.Benja Hites | 2.Loris Spinelli 4.Marco Mapelli
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,79,GTD PRO,WeatherTech Racing,Mercedes-AMG GT3,Cooper MacNeil,Daniel Juncadella,Jules Gounon,Maro Engel,,WeatherTech Racing Mercedes-AMG GT3 | GTDPRO | 1.Cooper MacNeil 3.Jules Gounon | 2.Daniel Juncadella 4.Maro Engel
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,80,GTD,AO Racing Porsche,911 GT3 R (992),PJ Hyett,Seb Priaulx,Gunnar Jeannette,Harry Tincknell,,AO Racing Porsche 911 GT3 R (992) | GTD | 1.PJ Hyett 3.Gunnar Jeannette | 2.Seb Priaulx 4.Harry Tincknell
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,83,GTD,Iron Dames Lamborghini,Huracan GT3 EVO2,Rahel Frey,Sarah Bovy,Michelle Gatting,Doriane Pin,,Iron Dames Lamborghini Huracan GT3 EVO2 | GTD | 1.Rahel Frey 3.Michelle Gatting | 2.Sarah Bovy 4.Doriane Pin | 29-Jan-23 1:54 PM
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,85,LMP3,JDC Miller MotorSports,Duqueine D08,Till Bechtolsheimer,Tijmen van der Helm,Luca Mars,Mason Filippi,,JDC Miller MotorSports Duqueine D08 | LMP3 | 1.Till Bechtolsheimer 3.Luca Mars | 2.Tijmen van der Helm 4.Mason Filippi
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,87,LMP3,FastMD Racing,Duqueine D08,Yu Kanamaru,Antonio Serravalle,Nick Boulle,James Vance,,FastMD Racing Duqueine D08 | LMP3 | 1.Yu Kanamaru 3.Nick Boulle | 2.Antonio Serravalle 4.James Vance
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,88,LMP2,AF Corse,ORECA 07,Francois Perrodo,Matthieu Vaxiviere,Julien Canal,Nicklas Nielsen,,AF Corse ORECA LMP2 07 | LMP2 | 1.Francois Perrodo 3.Julien Canal | 2.Matthieu Vaxiviere 4.Nicklas Nielsen
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,91,GTD,Kellymoss with Riley Porsche,911 GT3 R (992),Alan Metni,Kay van Berlo,Jaxon Evans,Julien Andlauer,,Kellymoss with Riley Porsche 911 GT3 R (992) | GTD | 1.Alan Metni 3.Jaxon Evans | 2.Kay van Berlo 4.Julien Andlauer
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,92,GTD,Kellymoss with Riley Porsche,911 GT3 R (992),David Brule,Alec Udell,Andrew Davis,Jeroen Bleekemolen,,Kellymoss with Riley Porsche 911 GT3 R (992) | GTD | 1.David Brule 3.Andrew Davis | 2.Alec Udell 4.Jeroen Bleekemolen
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,93,GTD,Racers Edge Motorsports with WTR,Acura NSX GT3,Ashton Harrison,Danny Formal,Kyle Marcelli,Ryan Briscoe,,Racers Edge Motorsports with WTR Acura NSX GT3 | GTD | 1.Ashton Harrison 3.Kyle Marcelli | 2.Danny Formal 4.Ryan Briscoe
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,95,GTD PRO,Turner Motorsport,BMW M4 GT3,Bill Auberlen,Chandler Hull,Bruno Spengler,John Edwards,,Turner Motorsport BMW M4 GT3 | GTDPRO | 1.Bill Auberlen 3.Bruno Spengler | 2.Chandler Hull 4.John Edwards
2023,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2023-01-28,202301281340_Race,96,GTD,Turner Motorsport,BMW M4 GT3,Patrick Gallagher,Robby Foley,Michael Dinan,Jens Klingmann,,Turner Motorsport BMW M4 GT3 | GTD | 1.Patrick Gallagher 3.Michael Dinan | 2.Robby Foley 4.Jens Klingmann
