year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,55,DPi,Mazda Motorsports,Mazda P,Tristan Nunez,Jonathan Bomarito,,,,Mazda Motorsports Mazda DPi | P | 1.Tristan Nunez | 2.Jonathan Bomarito
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,57,GTD,Stevenson Motorsports,Audi R8 LMS GT3,Lawson Aschenbach,Andrew Davis,,,,Stevenson Motorsports Audi R8 LMS GT3 | GTD | 1.Lawson Aschenbach | 2.Andrew Davis | 06-May-17 6:37 PM
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,62,GTLM,Risi Competizione,Ferrari 488 GTE,Giancarlo Fisichella,Toni Vilander,,,,Risi Competizione Ferrari 488 GTE | GTLM | 1.Giancarlo Fisichella | 2.Toni Vilander
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,63,GTD,Scuderia Corsa,Ferrari 488 GT3,Christina Nielsen,Alessandro Balzan,,,,Scuderia Corsa Ferrari 488 GT3 | GTD | 1.Christina Nielsen | 2.Alessandro Balzan
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,66,GTLM,Ford Chip Ganassi Racing,Ford GT,Dirk Mueller,Joey Hand,,,,Ford Chip Ganassi Racing Ford GT | GTLM | 1.Dirk Mueller | 2.Joey Hand
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,67,GTLM,Ford Chip Ganassi Racing,Ford GT,Ryan Briscoe,Richard Westbrook,,,,Ford Chip Ganassi Racing Ford GT | GTLM | 1.Ryan Briscoe | 2.Richard Westbrook
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,70,DPi,Mazda Motorsports,Mazda P,Tom Long,Joel Miller,,,,Mazda Motorsports Mazda DPi | P | 1.Tom Long | 2.Joel Miller
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,73,GTD,Park Place Motorsports,Porsche 911 GT3 R,Patrick Lindsey,Joerg Bergmeister,,,,Park Place Motorsports Porsche 911 GT3 R | GTD | 1.Patrick Lindsey | 2.Joerg Bergmeister
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,75,GTD,SunEnergy1 Racing,Mercedes-AMG GT3,Tristan Vautier,Kenny Habul,,,,SunEnergy1 Racing Mercedes-AMG GT3 | GTD | 1.Tristan Vautier | 2.Kenny Habul
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,80,GTD,Lone Star Racing,Mercedes-AMG GT3,Dan Knox,Mike Skeen,,,,Lone Star Racing Mercedes-AMG GT3 | GTD | 1.Dan Knox | 2.Mike Skeen
