year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,75,GTD,SunEnergy1 Racing,Mercedes-AMG GT3,Kenny Habul,Thomas Jaeger,Mikael Grenier,,,SunEnergy1 Racing Mercedes-AMG GT3 | GTD | 1.Kenny Habul 3.Mikael Grenier | 2.Thomas Jaeger
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,77,DPi,Mazda Team Joest,Mazda P,Oliver Jarvis,Tristan Nunez,Rene Rast,,,Mazda Team Joest Mazda DPi | P | 1.Oliver Jarvis 3.Rene Rast | 2.Tristan Nunez
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,85,LMP2,JDC-Miller Motorsports,ORECA P,Simon Trummer,Robert Alon,Nelson Panciatici,,,JDC-Miller Motorsports ORECA LMP2 | P | 1.Simon Trummer 3.Nelson Panciatici | 2.Robert Alon
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,86,GTD,Michael Shank Racing w/ Curb-Agajanian,Acura NSX GT3,Katherine Legge,Alvaro Parente,Trent Hindman,,,Michael Shank Racing w/ Acura NSX GT3 | Curb-Agajanian GTD | 1.Katherine Legge 3.Trent Hindman | 2.Alvaro Parente
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,90,DPi,Spirit of Daytona Racing,Cadillac P,Matthew McMurry,Tristan Vautier,Edward Cheever,,,Spirit of Daytona Racing Cadillac DPi | P | 1.Matthew McMurry 3.Edward Cheever | 2.Tristan Vautier
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,93,GTD,Michael Shank Racing w/ Curb-Agajanian,Acura NSX GT3,Justin Marks,Lawson Aschenbach,Mario Farnbacher,,,Michael Shank Racing w/ Acura NSX GT3 | Curb-Agajanian GTD | 1.Justin Marks 3.Mario Farnbacher | 2.Lawson Aschenbach
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,96,GTD,Turner Motorsport,BMW M6 GT3,Don Yount,Dillon Machavern,Markus Palttala,,,Turner Motorsport BMW M6 GT3 | GTD | 1.Don Yount 3.Markus Palttala | 2.Dillon Machavern
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,99,LMP2,JDC-Miller Motorsports,ORECA P,Chris Miller,Stephen Simpson,Misha Goikhberg,,,JDC-Miller Motorsports ORECA LMP2 | P | 1.Chris Miller 3.Misha Goikhberg | 2.Stephen Simpson
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,911,GTLM,Porsche GT Team,Porsche RSR,Patrick Pilet,Frederic Makowiecki,Nick Tandy,,,Porsche GT Team Porsche 911 RSR | GTLM | 1.Patrick Pilet 3.Nick Tandy | 2.Frederic Makowiecki
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,912,GTLM,Porsche GT Team,Porsche 911 RSR,Laurens Vanthoor,Earl Bamber,Gianmaria Bruni,,,Porsche GT Team Porsche 911 RSR | GTLM | 1.Laurens Vanthoor 3.Gianmaria Bruni | 2.Earl Bamber
