year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2026,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2026-06-28,202606281210_Race,40,GTP,Cadillac Wayne Taylor Racing,Cadillac V-Series.R,Jordan Taylor,Louis Deletraz,,,,Cadillac Wayne Taylor Racing Cadillac V-Series.R | GTP | 1.Jordan Taylor | 2.Louis Deletraz
2026,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2026-06-28,202606281210_Race,43,LMP2,Inter Europol Competition,ORECA 07,Tom Dillmann,Bijoy Garg,Jeremy Clarke,,,Inter Europol Competition ORECA LMP2 07 | LMP2 | 1.Tom Dillmann 3.Jeremy Clarke | 2.Bijoy Garg
2026,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2026-06-28,202606281210_Race,44,GTD,Magnus Racing Aston Martin,Vantage GT3 Evo,John Potter,Spencer Pumpelly,Mario Farnbacher,,,Magnus Racing Aston Martin Vantage GT3 Evo | GTD | 1.John Potter 3.Mario Farnbacher | 2.Spencer Pumpelly
2026,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2026-06-28,202606281210_Race,45,GTD,Wayne Taylor Racing Lamborghini,Huracan GT3 EVO2,Danny Formal,Trent Hindman,Graham Doyle,,,Wayne Taylor Racing Lamborghini Huracan GT3 EVO2 | GTD | 1.Danny Formal 3.Graham Doyle | 2.Trent Hindman
2026,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2026-06-28,202606281210_Race,52,LMP2,Bryan Herta Autosport with PR1/Mathiasen,ORECA 07,Misha Goikhberg,Parker Thompson,Harry Tincknell,,,Bryan Herta Autosport with ORECA LMP2 07 | PR1/Mathiasen LMP2 | 1.Misha Goikhberg 3.Harry Tincknell | 2.Parker Thompson
2026,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2026-06-28,202606281210_Race,57,GTD,WINWARD RACING,Mercedes-AMG GT3,Russell Ward,Philip Ellis,Indy Dontje,,,WINWARD RACING Mercedes-AMG GT3 | GTD | 1.Russell Ward 3.Indy Dontje | 2.Philip Ellis
2026,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2026-06-28,202606281210_Race,59,GTD PRO,RLL Team McLaren McLaren,720S GT3 EVO,Max Esterson,Nikita Johnson,,,,RLL Team McLaren McLaren 720S GT3 EVO | GTDPRO | 1.Max Esterson | 2.Nikita Johnson
2026,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2026-06-28,202606281210_Race,60,GTP,Acura Meyer Shank Racing w/Curb Agajanian,Acura ARX-06,Tom Blomqvist,Colin Braun,,,,Acura Meyer Shank Racing w/Curb Acura ARX-06 | Agajanian GTP | 1.Tom Blomqvist | 2.Colin Braun
2026,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2026-06-28,202606281210_Race,62,GTD PRO,Risi Competizione,Ferrari 296 GT3 EVO,Daniel Serra,Davide Rigon,,,,Risi Competizione Ferrari 296 GT3 EVO | GTDPRO | 1.Daniel Serra | 2.Davide Rigon
2026,14_Watkins Glen International,Watkins Glen International,watkins-glen-international,2026-06-28,202606281210_Race,64,GTD PRO,Ford Racing,Ford Mustang GT3,Ben Barker,Dennis Olsen,,,,Ford Racing Ford Mustang GT3 | GTDPRO | 1.Ben Barker | 2.Dennis Olsen
