year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,55,DPi,Mazda Team Joest,Mazda P,Jonathan Bomarito,Harry Tincknell,Spencer Pigot,,,Mazda Team Joest Mazda DPi | P | 1.Jonathan Bomarito 3.Spencer Pigot | 2.Harry Tincknell
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,58,GTD,Wright Motorsports,Porsche 911 GT3 R,Patrick Long,Christina Nielsen,Robert Renauer,Mathieu Jaminet,,Wright Motorsports Porsche 911 GT3 R | GTD | 1.Patrick Long 3.Robert Renauer | 2.Christina Nielsen 4.Mathieu Jaminet
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,59,GTD,Manthey-Racing,Porsche 911 GT3 R,Steve Smith,Randy Walls,Harald Proczyk,Sven Muller,Matteo Cairoli,Manthey-Racing Porsche 911 GT3 R | GTD | 1.Steve Smith 3.Harald Proczyk 5.Matteo Cairoli | 2.Randy Walls 4.Sven Muller
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,62,GTLM,Risi Competizione,Ferrari 488 GTE,Toni Vilander,Alessandro Pier Guidi,James Calado,Davide Rigon,,Risi Competizione Ferrari 488 GTE | GTLM | 1.Toni Vilander 3.James Calado | 2.Alessandro Pier Guidi 4.Davide Rigon
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,63,GTD,Scuderia Corsa,Ferrari 488 GT3,Cooper MacNeil,Alessandro Balzan,Gunnar Jeannette,Jeff Segal,,Scuderia Corsa Ferrari 488 GT3 | GTD | 1.Cooper MacNeil 3.Gunnar Jeannette | 2.Alessandro Balzan 4.Jeff Segal
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,64,GTD,Scuderia Corsa,Ferrari 488 GT3,Bill Sweedler,Townsend Bell,Frank Montecalvo,Sam Bird,,Scuderia Corsa Ferrari 488 GT3 | GTD | 1.Bill Sweedler 3.Frank Montecalvo | 2.Townsend Bell 4.Sam Bird
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,66,GTLM,Ford Chip Ganassi Racing,Ford GT,Joey Hand,Dirk Mueller,Sebastien Bourdais,,,Ford Chip Ganassi Racing Ford GT | GTLM | 1.Joey Hand 3.Sebastien Bourdais | 2.Dirk Mueller
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,67,GTLM,Ford Chip Ganassi Racing,Ford GT,Ryan Briscoe,Richard Westbrook,Scott Dixon,,,Ford Chip Ganassi Racing Ford GT | GTLM | 1.Ryan Briscoe 3.Scott Dixon | 2.Richard Westbrook
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,69,GTD,HART,Acura NSX GT3,Chad Gilsinger,Ryan Eversley,Sean Rayhall,John Falb,,HART Acura NSX GT3 | GTD | 1.Chad Gilsinger 3.Sean Rayhall | 2.Ryan Eversley 4.John Falb
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,71,GTD,P1 Motorsports,Mercedes-AMG GT3,Kenton Koch,Robby Foley,Loris Spinelli,JC Perez,,P1 Motorsports Mercedes-AMG GT3 | GTD | 1.Kenton Koch 3.Loris Spinelli | 2.Robby Foley 4.JC Perez
