year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,73,LMP2,Pratt Miller Motorsports,ORECA 07,Pietro Fittipaldi,Manuel Espirito Santo,Chris Cumming,,,Pratt Miller Motorsports ORECA LMP2 07 | LMP2 | 1.Pietro Fittipaldi 3.Chris Cumming | 2.Manuel Espirito Santo
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,77,GTD PRO,AO Racing Porsche,911 GT3 R (992),Nick Tandy,Harry King,Alessio Picariello,,,AO Racing Porsche 911 GT3 R (992) | GTDPRO | 1.Nick Tandy 3.Alessio Picariello | 2.Harry King
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,80,GTD,Lone Star Racing,Mercedes-AMG GT3,Scott Andrews,Lin Hodenius,James Roe,,,Lone Star Racing Mercedes-AMG GT3 | GTD | 1.Scott Andrews 3.James Roe | 2.Lin Hodenius | 3/21/2026 10:17 PM
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,81,GTD,DragonSpeed Chevrolet,Corvette Z06 GT3.R,Henrik Hedman,Giacomo Altoè,Casper Stevenson,,,DragonSpeed Chevrolet Corvette Z06 GT3.R | GTD | 1.Henrik Hedman 3.Casper Stevenson | 2.Giacomo Altoè
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,93,GTP,Acura Meyer Shank Racing w/Curb Agajanian,Acura ARX-06,Renger van der Zande,Nick Yelloly,Alex Palou,,,Acura Meyer Shank Racing Acura ARX-06 | w/Curb Agajanian GTP | 1.Renger van der Zande 3.Alex Palou | 2.Nick Yelloly
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,96,GTD,Turner Motorsport,BMW M4 GT3 EVO,Patrick Gallagher,Robby Foley,Francis Selldorff,,,Turner Motorsport BMW M4 GT3 EVO | GTD | 1.Patrick Gallagher 3.Francis Selldorff | 2.Robby Foley
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,99,LMP2,AO Racing,ORECA 07,PJ Hyett,Dane Cameron,Jonny Edgar,,,AO Racing ORECA LMP2 07 | LMP2 | 1.PJ Hyett 3.Jonny Edgar | 2.Dane Cameron
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,120,GTD,Wright Motorsports Porsche,911 GT3 R (992),Adam Adelson,Tom Sargent,Callum Ilott,,,Wright Motorsports Porsche 911 GT3 R (992) | GTD | 1.Adam Adelson 3.Callum Ilott | 2.Tom Sargent
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,911,GTD PRO,Manthey Porsche,GT3 R (992),Thomas Preining,Klaus Bachler,Ricardo Feller,,,Manthey Porsche 911 GT3 R (992) | GTDPRO | 1.Thomas Preining 3.Ricardo Feller | 2.Klaus Bachler
2026,06_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2026-03-21,202603211010_Race,912,GTD,Manthey 1St Phorm Porsche,911 GT3 R (992),Riccardo Pera,Morris Schuring,Ryan Hardwick,,,Manthey 1St Phorm Porsche 911 GT3 R (992) | GTD | 1.Riccardo Pera 3.Ryan Hardwick | 2.Morris Schuring
