year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2024,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2024-03-16,202403160940_Race,10,GTP,Wayne Taylor Racing with Andretti,Acura ARX-06,Ricky Taylor,Filipe Albuquerque,Brendon Hartley,,,Wayne Taylor Racing with Andretti Acura ARX-06 | GTP | 1.Ricky Taylor 3.Brendon Hartley | 2.Filipe Albuquerque
2024,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2024-03-16,202403160940_Race,11,LMP2,TDS Racing,ORECA 07,Steven Thomas,Mikkel Jensen,Hunter McElrea,,,TDS Racing ORECA LMP2 07 | LMP2 | 1.Steven Thomas 3.Hunter McElrea | 2.Mikkel Jensen
2024,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2024-03-16,202403160940_Race,12,GTD,Vasser Sullivan,Lexus RC F GT3,Frankie Montecalvo,Parker Thompson,Aaron Telitz,,,Vasser Sullivan Lexus RC F GT3 | GTD | 1.Frankie Montecalvo 3.Aaron Telitz | 2.Parker Thompson
2024,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2024-03-16,202403160940_Race,13,GTD,AWA Chevrolet,Corvette Z06 GT3.R,Orey Fidani,Matthew Bell,Lars Kern,,,AWA Chevrolet Corvette Z06 GT3.R | GTD | 1.Orey Fidani 3.Lars Kern | 2.Matthew Bell
2024,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2024-03-16,202403160940_Race,14,GTD PRO,Vasser Sullivan,Lexus RC F GT3,Jack Hawksworth,Ben Barnicoat,Kyle Kirkwood,,,Vasser Sullivan Lexus RC F GT3 | GTDPRO | 1.Jack Hawksworth 3.Kyle Kirkwood | 2.Ben Barnicoat
2024,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2024-03-16,202403160940_Race,17,GTD,AWA Chevrolet,Corvette Z06 GT3.R,Anthony Mantella,Nico Varrone,Thomas Merrill,,,AWA Chevrolet Corvette Z06 GT3.R | GTD | 1.Anthony Mantella 3.Thomas Merrill | 2.Nico Varrone
2024,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2024-03-16,202403160940_Race,18,LMP2,Era Motorsport,ORECA 07,Dwight Merriman,Ryan Dalziel,Connor Zilisch,,,Era Motorsport ORECA LMP2 07 | LMP2 | 1.Dwight Merriman 3.Connor Zilisch | 2.Ryan Dalziel
2024,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2024-03-16,202403160940_Race,19,GTD PRO,Iron Lynx Lamborghini,Huracan GT3 EVO2,Franck Perera,Jordan Pepper,Mirko Bortolotti,,,Iron Lynx Lamborghini Huracan GT3 EVO2 | GTDPRO | 1.Franck Perera 3.Mirko Bortolotti | 2.Jordan Pepper
2024,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2024-03-16,202403160940_Race,20,LMP2,MDK by High Class Racing,ORECA 07,Dennis Andersen,Seth Lucas,Laurents Hoerr,,,MDK by High Class Racing ORECA LMP2 07 | LMP2 | 1.Dennis Andersen 3.Laurents Hoerr | 2.Seth Lucas
2024,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2024-03-16,202403160940_Race,21,GTD,AF Corse,Ferrari 296 GT3,Simon Mann,Francois Heriau,Miguel Molina,,,AF Corse Ferrari 296 GT3 | GTD | 1.Simon Mann 3.Miguel Molina | 2.Francois Heriau
