year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2019,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2019-01-26,201901261435_Race,14,GTD,AIM Vasser Sullivan,Lexus RC F GT3,Richard Heistand,Jack Hawksworth,Austin Cindric,Nick Cassidy,,AIM Vasser Sullivan Lexus RC F GT3 | GTD | 1.Richard Heistand 3.Austin Cindric | 2.Jack Hawksworth 4.Nick Cassidy
2019,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2019-01-26,201901261435_Race,18,LMP2,DragonSpeed,ORECA,Roberto Gonzalez,Pastor Maldonado,Sebastian Saavedra,Ryan Cullen,,DragonSpeed ORECA LMP2 | LMP2 | 1.Roberto Gonzalez 3.Sebastian Saavedra | 2.Pastor Maldonado 4.Ryan Cullen
2019,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2019-01-26,201901261435_Race,19,GTD,Moorespeed,Audi R8 LMS GT3,Andrew Davis,Alex Riberas,Will Hardeman,Markus Winkelhock,,Moorespeed Audi R8 LMS GT3 | GTD | 1.Andrew Davis 3.Will Hardeman | 2.Alex Riberas 4.Markus Winkelhock
2019,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2019-01-26,201901261435_Race,24,GTLM,BMW Team RLL,BMW M8 GTE,Jesse Krohn,John Edwards,Chaz Mostert,Alex Zanardi,,BMW Team RLL BMW M8 GTE | GTLM | 1.Jesse Krohn 3.Chaz Mostert | 2.John Edwards 4.Alex Zanardi
2019,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2019-01-26,201901261435_Race,25,GTLM,BMW Team RLL,BMW M8 GTE,Augusto Farfus,Connor De Phillippi,Philipp Eng,Colton Herta,,BMW Team RLL BMW M8 GTE | GTLM | 1.Augusto Farfus 3.Philipp Eng | 2.Connor De Phillippi 4.Colton Herta
2019,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2019-01-26,201901261435_Race,29,GTD,Montaplast by Land Motorsport,Audi R8 LMS GT3,Daniel Morad,Christopher Mies,Ricky Feller,Dries Vanthoor,,Montaplast by Land Motorsport Audi R8 LMS GT3 | GTD | 1.Daniel Morad 3.Ricky Feller | 2.Christopher Mies 4.Dries Vanthoor
2019,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2019-01-26,201901261435_Race,31,DPi,Whelen Engineering Racing,Cadillac,Felipe Nasr,Eric Curran,Pipo Derani,,,Whelen Engineering Racing Cadillac DPi | DPi | 1.Felipe Nasr 3.Pipo Derani | 2.Eric Curran
2019,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2019-01-26,201901261435_Race,33,GTD,Riley Motorsports - Team AMG,Mercedes-AMG GT3,Ben Keating,Jeroen Bleekemolen,Luca Stolz,Felipe Fraga,,Riley Motorsports - Team AMG Mercedes-AMG GT3 | GTD | 1.Ben Keating 3.Luca Stolz | 2.Jeroen Bleekemolen 4.Felipe Fraga
2019,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2019-01-26,201901261435_Race,38,LMP2,Performance Tech Motorsports,ORECA,Kyle Masson,Robert Masson,Cameron Cassels,Kris Wright,,Performance Tech Motorsports ORECA LMP2 | LMP2 | 1.Kyle Masson 3.Cameron Cassels | 2.Robert Masson 4.Kris Wright
2019,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2019-01-26,201901261435_Race,44,GTD,Magnus Racing Lamborghini,Huracan GT3,John Potter,Andy Lally,Spencer Pumpelly,Marco Mapelli,,Magnus Racing Lamborghini Huracan GT3 | GTD | 1.John Potter 3.Spencer Pumpelly | 2.Andy Lally 4.Marco Mapelli
2019,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2019-01-26,201901261435_Race,46,GTD,EBIMOTORS SRL,Lamborghini Huracan GT3,Emanuele Busnelli,Fabio Babini,Taylor Proto,Giacomo Altoe,,EBIMOTORS SRL Lamborghini Huracan GT3 | GTD | 1.Emanuele Busnelli 3.Taylor Proto | 2.Fabio Babini 4.Giacomo Altoe
2019,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2019-01-26,201901261435_Race,47,GTD,Precision Performance Motorsports (PPM),Lamborghini Huracan GT3,Steve Dunn,Linus Lundqvist,Milos Pavlovic,Don Yount,,Precision Performance Motorsports Lamborghini Huracan GT3 | (PPM) GTD | 1.Steve Dunn 3.Milos Pavlovic | 2.Linus Lundqvist 4.Don Yount
2019,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2019-01-26,201901261435_Race,48,GTD,Paul Miller Racing,Lamborghini Huracan GT3,Bryan Sellers,Ryan Hardwick,Corey Lewis,Andrea Caldarelli,,Paul Miller Racing Lamborghini Huracan GT3 | GTD | 1.Bryan Sellers 3.Corey Lewis | 2.Ryan Hardwick 4.Andrea Caldarelli
2019,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2019-01-26,201901261435_Race,50,DPi,Juncos Racing,Cadillac,Will Owen,Rene Binder,Agustin Canapino,Kyle Kaiser,,Juncos Racing Cadillac DPi | DPi | 1.Will Owen 3.Agustin Canapino | 2.Rene Binder 4.Kyle Kaiser
2019,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2019-01-26,201901261435_Race,51,GTD,Spirit of Race,Ferrari 488 GT3,Paul Dalla Lana,Pedro Lamy,Mathias Lauda,Daniel Serra,,Spirit of Race Ferrari 488 GT3 | GTD | 1.Paul Dalla Lana 3.Mathias Lauda | 2.Pedro Lamy 4.Daniel Serra
2019,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2019-01-26,201901261435_Race,52,LMP2,PR1 Mathiasen Motorsports,ORECA,Matthew McMurry,Gabriel Aubry,Mark Kvamme,Enzo Guibbert,,PR1 Mathiasen Motorsports ORECA LMP2 | LMP2 | 1.Matthew McMurry 3.Mark Kvamme | 2.Gabriel Aubry 4.Enzo Guibbert
2019,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2019-01-26,201901261435_Race,54,DPi,CORE autosport,Nissan,Jonathan Bennett,Colin Braun,Romain Dumas,Loic Duval,,CORE autosport Nissan DPi | DPi | 1.Jonathan Bennett 3.Romain Dumas | 2.Colin Braun 4.Loic Duval
2019,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2019-01-26,201901261435_Race,55,DPi,Mazda Team Joest,Mazda,Jonathan Bomarito,Harry Tincknell,Olivier Pla,,,Mazda Team Joest Mazda DPi | DPi | 1.Jonathan Bomarito 3.Olivier Pla | 2.Harry Tincknell
2019,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2019-01-26,201901261435_Race,57,GTD,Heinricher Racing w/Meyer Shank Racing,Acura NSX GT3,Katherine Legge,Simona De Silvestro,Ana Beatriz,Christina Nielsen,,Heinricher Racing w/Meyer Shank Acura NSX GT3 | Racing GTD | 1.Katherine Legge 3.Ana Beatriz | 2.Simona De Silvestro 4.Christina Nielsen
2019,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2019-01-26,201901261435_Race,62,GTLM,Risi Competizione,Ferrari 488 GTE,Davide Rigon,Miguel Molina,Alessandro Pier Guidi,James Calado,,Risi Competizione Ferrari 488 GTE | GTLM | 1.Davide Rigon 3.Alessandro Pier Guidi | 2.Miguel Molina 4.James Calado
